,Shannon,Faith_PD,Obs_SVs,Pielou
403_CC,5.934692245,5.879607298,172,0.799149026
403_CL,5.190869775,5.842051759,159,0.70982536
405_CC,5.672326247,5.833770953,173,0.762960309
405_CL,4.685133982,5.388789834,156,0.64308515
407_CC,5.905154044,5.361413843,162,0.804533341
407_CL,5.974797777,5.540462713,171,0.805461927
408_CC,6.047666226,5.414997668,150,0.836605051
408_CL,5.096714773,5.714972739,167,0.690265288
411_CC,5.518524562,5.843119173,167,0.747392412
411_CL,5.454895525,5.712922619,163,0.742291103
412_CC,5.679330446,5.521241178,154,0.781546343
412_CL,5.347673369,5.517597438,148,0.741758508
414_CC,5.822845097,5.517846465,170,0.78587365
420_CC,5.616351509,5.760426775,168,0.759755187
420_CL,4.966014682,5.51544745,158,0.679923844
425_CC,5.945236919,6.282723091,177,0.796136978
425_CL,5.087528695,5.661821109,167,0.689021187
427_CC,5.826347731,5.770935334,160,0.795739545
427_CL,5.064076444,5.623210336,147,0.70337596
428_CC,5.84735797,5.414339835,157,0.801598626
428_CL,5.268411969,5.370540644,151,0.727841584
431_CC,5.720393253,5.380456298,162,0.779361057
431_CL,5.045747325,5.432452068,150,0.69800441
432_CC,5.715722626,5.587052686,169,0.772303167
432_CL,5.243620645,5.23739897,155,0.720661214
433_CC,6.119333058,6.097394538,178,0.818559559
433_CL,4.63128375,5.520069553,159,0.633304783
437_CC,5.427790475,5.468789745,159,0.742223075
437_CL,4.753893951,5.359408513,145,0.662110605
438_CC,5.394798288,4.650981535,122,0.778387353
438_CL,5.306955265,4.754235683,113,0.778125515
439_CC,5.993584596,5.364753362,148,0.831350769
439_CL,5.255760009,5.471529641,156,0.721409725
444_CC,5.913618446,5.679391293,172,0.796311287
444_CL,4.79360562,5.092597772,129,0.683704214
449_CC,5.429503773,5.354114618,150,0.751091431
449_CL,4.659024127,5.14557015,137,0.656382512
450_CC,5.495696711,5.538962672,169,0.742573468
450_CL,5.295180976,5.667004019,170,0.714658063
451_CC,5.660033023,5.491649056,164,0.769282095
451_CL,4.943524833,5.479433213,156,0.678552081
452_CC,3.884231586,4.084111691,82,0.6109634
452_CL,4.759374588,4.79866035,132,0.675625825
456_CC,5.659164469,5.689067518,159,0.773862306
456_CL,4.939818924,4.827334715,117,0.719003885
459_CC,5.604451727,5.326302377,158,0.767335702
459_CL,4.635384495,5.356551259,149,0.642093959
461_CC,5.844257398,5.366760526,154,0.804242338
461_CL,5.301675777,5.494758944,151,0.732437045
463_CC,5.428650293,5.18567399,140,0.761458099
463_CL,4.93197145,5.211455658,130,0.702323145
464_CC,5.596444094,6.104508128,174,0.751912748
464_CL,4.625097566,5.277256697,144,0.645069169
465_CC,5.727933247,5.395562238,153,0.789255497
465_CL,5.00856951,5.068704221,140,0.702534813
466_CC,5.519788212,5.247188685,141,0.773128162
466_CL,5.427172566,5.490148538,138,0.763473854
471_CC,6.059968471,5.688489604,171,0.81694378
471_CL,5.285824725,5.415682995,145,0.736196609
472_CC,6.004751479,6.124414866,182,0.799802308
472_CL,5.477170862,5.711582273,163,0.745322285
475_CC,5.641374086,5.842330139,171,0.76051311
