,403_CC,403_CL,405_CC,405_CL,407_CC,407_CL,408_CC,408_CL,411_CC,411_CL,412_CC,412_CL,414_CC,420_CC,420_CL,425_CC,425_CL,427_CC,427_CL,428_CC,428_CL,431_CC,431_CL,432_CC,432_CL,433_CC,433_CL,437_CC,437_CL,438_CC,438_CL,439_CC,439_CL,444_CC,444_CL,449_CC,449_CL,450_CC,450_CL,451_CC,451_CL,452_CC,452_CL,456_CC,456_CL,459_CC,459_CL,461_CC,461_CL,463_CC,463_CL,464_CC,464_CL,465_CC,465_CL,466_CC,466_CL,471_CC,471_CL,472_CC,472_CL,475_CC,475_CL,476_CC,476_CL,478_CC,478_CL,481_CC,481_CL,482_CC,482_CL,484_CC,484_CL,485_CC,485_CL,489_CC,489_CL,495_CC,495_CL,500_CC,500_CL,505_CC,505_CL,509_CC,509_CL,510_CC,510_CL,515_CC,515_CL,517_CC,517_CL,518_CC,518_CL,519_CC,519_CL,521_CC,521_CL,522_CC,522_CL,524_CC,524_CL,528_CC,528_CL,532_CC,532_CL,534_CC,534_CL,535_CC,535_CL,536_CC,536_CL,538_CC,538_CL,541_CC,541_CL,542_CC,542_CL,547_CC,547_CL,548_CC,548_CL,549_CC,549_CL,553_CC,553_CL,555_CC,555_CL,562_CC,562_CL,564_CC,564_CL,568_CC,568_CL,571_CC,571_CL,572_CC,572_CL,573_CC,573_CL,577_CC,577_CL,578_CC,578_CL,579_CC,579_CL,580_CC,580_CL,584_CC,584_CL,590_CC,590_CL,592_CC,592_CL
403_CC,0,0.055433468,0.079589141,0.126586908,0.12628005,0.102298476,0.100291909,0.162392822,0.138615373,0.151177627,0.19229075,0.204626992,0.170902996,0.181388425,0.186172724,0.133393998,0.165793841,0.134393746,0.183165841,0.153959463,0.157013506,0.183985756,0.169705315,0.126243677,0.165209164,0.142819801,0.17134456,0.148902908,0.14689252,0.22643135,0.215117946,0.163478912,0.168414825,0.106020715,0.166040379,0.170921806,0.141276007,0.148541374,0.152747932,0.119675777,0.178259997,0.332855676,0.210316659,0.145021703,0.234609399,0.160503302,0.1593667,0.133612297,0.160149353,0.166135804,0.194611046,0.096725664,0.179069969,0.145952707,0.165006191,0.171892818,0.119633164,0.12508356,0.153510659,0.08833571,0.133368328,0.09902966,0.114429685,0.11271249,0.151157249,0.111461524,0.116857298,0.186821585,0.189641201,0.226445129,0.194170482,0.164463646,0.164370263,0.09681124,0.152636704,0.234349292,0.219583493,0.112772946,0.117948174,0.114675504,0.103796667,0.105881182,0.168858369,0.101865944,0.099977938,0.147653894,0.1423098,0.158993546,0.171543858,0.114130792,0.119721673,0.123882171,0.128083063,0.098770016,0.182874973,0.13074151,0.09377332,0.184253848,0.157220195,0.105346043,0.144548226,0.137745387,0.171851033,0.156470152,0.114744882,0.118695395,0.138639171,0.142870698,0.178686445,0.17611974,0.121869917,0.179029068,0.19324147,0.157908634,0.191904765,0.102529959,0.11612421,0.102255865,0.179386905,0.12106056,0.13633624,0.145465052,0.101549176,0.176053476,0.158003652,0.111272492,0.188836956,0.122032392,0.189234807,0.100450437,0.128449943,0.128221937,0.12596628,0.166435626,0.172319089,0.084718409,0.16367865,0.116709413,0.104852591,0.149595603,0.159661526,0.185173342,0.202939525,0.112031957,0.126575744,0.102655112,0.133614096,0.095321486,0.127992225,0.122142717,0.133449419,0.180918318,0.18901594
403_CL,0.055433468,0,0.078266367,0.130623453,0.121314079,0.099170866,0.114488762,0.154250226,0.112402084,0.136340196,0.192954209,0.176411023,0.163199359,0.150376698,0.19017112,0.138654265,0.146615576,0.123189195,0.167940455,0.193676428,0.181399588,0.200950189,0.178889042,0.123582829,0.167780232,0.136689437,0.169624775,0.169678812,0.128459129,0.228549891,0.220029982,0.169009849,0.153732513,0.122125015,0.153053041,0.16225981,0.157033012,0.153054097,0.145478626,0.119008306,0.171040042,0.337845748,0.211951703,0.141218113,0.24000767,0.1605883,0.148638577,0.149642199,0.153082614,0.19701131,0.208876242,0.109199755,0.198480964,0.145317366,0.167987565,0.170925387,0.132573201,0.129013473,0.165307387,0.098379673,0.14062324,0.104194734,0.115745027,0.094375352,0.149718165,0.09749267,0.110794463,0.178053983,0.198678565,0.226332069,0.187973292,0.156026401,0.170645232,0.101953211,0.138086331,0.237367722,0.237148616,0.122808464,0.135469802,0.117759988,0.118559688,0.093786208,0.176458043,0.119081291,0.11800217,0.161241802,0.144110944,0.186655942,0.172383222,0.136024512,0.133882087,0.156034478,0.113689324,0.093215588,0.17638462,0.128838421,0.108571353,0.189931117,0.156152065,0.107916698,0.125003745,0.138577658,0.173891147,0.165087182,0.121392172,0.113639944,0.132830302,0.126035025,0.159773898,0.173385045,0.124611741,0.164258043,0.185022755,0.15310456,0.194615442,0.090776767,0.134508599,0.14132873,0.158706289,0.134331284,0.144966254,0.143074148,0.08566,0.17630294,0.170966583,0.126587067,0.186464575,0.1278098,0.199301644,0.106004861,0.119774203,0.134124414,0.135625235,0.143860976,0.187203611,0.072638595,0.142394966,0.131212325,0.110423331,0.148430295,0.161878548,0.186644223,0.212648763,0.089514336,0.107289934,0.107353286,0.128487445,0.130073435,0.143355044,0.123464925,0.144492718,0.175573763,0.179721209
405_CC,0.079589141,0.078266367,0,0.118223847,0.164912366,0.111426246,0.121977935,0.163285544,0.128788301,0.151897536,0.185820853,0.185490728,0.173469871,0.163047594,0.18675384,0.161408914,0.178462353,0.128868874,0.173071587,0.181439694,0.189910204,0.182268055,0.158236484,0.101844278,0.15914816,0.157785531,0.155713451,0.183718544,0.165484324,0.222216732,0.238083291,0.173231579,0.175161763,0.083986377,0.160415865,0.197723421,0.145326585,0.147607744,0.158016337,0.148871427,0.205405007,0.355282325,0.219408264,0.146431131,0.23082227,0.163539936,0.165313241,0.13881945,0.158660002,0.177067979,0.21993398,0.133838126,0.198657497,0.164135838,0.163175377,0.189607634,0.135008181,0.142779188,0.185529466,0.118423711,0.146340344,0.097567126,0.125304063,0.118937422,0.183258565,0.122121674,0.123463988,0.170354611,0.182754608,0.216321995,0.184078616,0.147766193,0.156421018,0.122348493,0.116438837,0.268360132,0.254272028,0.139525721,0.157731965,0.132785128,0.12704834,0.115689128,0.175138288,0.138146233,0.139630395,0.16550344,0.137987289,0.168959179,0.14427748,0.144327229,0.141281086,0.139709729,0.138128135,0.120518753,0.194122644,0.142947401,0.095688898,0.175820191,0.14749571,0.122453319,0.132897686,0.133875146,0.169685135,0.151481998,0.109791858,0.117871089,0.160067582,0.134976239,0.13656921,0.179654621,0.126765559,0.165670643,0.200303757,0.151074629,0.178206336,0.072107362,0.11932271,0.112294332,0.143727839,0.149215091,0.139615381,0.147970412,0.111216203,0.153279484,0.157114463,0.139895222,0.186697059,0.126640636,0.173912472,0.109000058,0.112726974,0.119889958,0.129114003,0.157576023,0.190006538,0.114099503,0.175727319,0.122924586,0.102834717,0.156614187,0.155607596,0.215384525,0.203089564,0.086635366,0.11947245,0.092516792,0.135904553,0.119925004,0.123371281,0.125604145,0.147664922,0.199352778,0.172197331
405_CL,0.126586908,0.130623453,0.118223847,0,0.162414423,0.117574586,0.168631978,0.18009675,0.161877303,0.195227784,0.166321986,0.141966007,0.164342499,0.153327878,0.162549428,0.224671597,0.182993077,0.191211457,0.18251702,0.167147955,0.188725698,0.146850475,0.171496656,0.119284606,0.123681016,0.203046628,0.162311626,0.13892771,0.162377013,0.177191422,0.190684397,0.118717425,0.12337961,0.137729587,0.151620499,0.155568654,0.15860445,0.122100642,0.169819381,0.15903925,0.156992764,0.374524472,0.179462267,0.201988491,0.209284417,0.128762503,0.115557917,0.16122004,0.120974185,0.140853577,0.211243632,0.179607758,0.14985299,0.158475615,0.147513576,0.182091017,0.182076513,0.164131404,0.191878334,0.189945144,0.091348717,0.144654189,0.161173332,0.161343087,0.221610591,0.191035523,0.150920235,0.203620036,0.18521383,0.209786823,0.192237587,0.205146362,0.203896177,0.177379294,0.189615902,0.245575332,0.233122406,0.176205711,0.115219315,0.144410585,0.141115267,0.132312306,0.18958841,0.162612382,0.157093459,0.219447719,0.210957624,0.162291639,0.12551988,0.137187462,0.111332012,0.191309225,0.150797853,0.188502355,0.162446424,0.16310932,0.155418804,0.184808461,0.214899934,0.172420725,0.192662516,0.139320696,0.20530482,0.151401957,0.132499363,0.159121107,0.145142846,0.125571249,0.153363817,0.177612752,0.167111136,0.199801494,0.169533057,0.165927308,0.202430378,0.143722312,0.161368591,0.180531338,0.196925991,0.197988988,0.198229711,0.1818662,0.168184948,0.191379591,0.1703635,0.135394345,0.161617998,0.156335644,0.20287082,0.161892244,0.185984174,0.196036301,0.133625678,0.149128402,0.197654181,0.164698357,0.169493599,0.150823484,0.160526998,0.186059392,0.193204243,0.222548124,0.211676106,0.159307667,0.183873806,0.159105836,0.169931822,0.13237945,0.154063443,0.132513099,0.15833814,0.17019639,0.176022303
407_CC,0.12628005,0.121314079,0.164912366,0.162414423,0,0.084257305,0.134406398,0.156366432,0.198633172,0.189064732,0.201841119,0.208530863,0.144703474,0.199827747,0.214520708,0.217948425,0.182937482,0.197545418,0.169950954,0.191377234,0.191244445,0.188295892,0.246746286,0.171243158,0.169552022,0.187900957,0.228193819,0.211810914,0.171991544,0.196293031,0.206781595,0.181397668,0.18056802,0.183563155,0.15191832,0.169150159,0.206622703,0.145662721,0.192306815,0.168588857,0.165754983,0.397580047,0.17651503,0.194054881,0.217007131,0.152422337,0.184786334,0.184239508,0.175760393,0.19573304,0.260273893,0.183598039,0.205593443,0.148205302,0.130006688,0.143150813,0.211144976,0.158276478,0.175629366,0.136608744,0.183142869,0.144722232,0.166146303,0.15275984,0.2042998,0.129352509,0.149391084,0.226486885,0.275928347,0.210719195,0.226574268,0.217476397,0.221656912,0.183189045,0.201530621,0.242848627,0.227674206,0.172457044,0.163167933,0.152719579,0.171551476,0.158317696,0.237317499,0.192328364,0.183684437,0.185420472,0.238880697,0.181758113,0.155663517,0.141547259,0.162701137,0.204276447,0.132460929,0.165579411,0.150124664,0.102770631,0.184135116,0.160370451,0.192998202,0.153871113,0.186584655,0.133172788,0.220503602,0.126866563,0.184647773,0.165850675,0.165637682,0.126696055,0.173624095,0.178048147,0.181019196,0.231243096,0.161257822,0.201782011,0.219256151,0.152708037,0.172608886,0.18181999,0.219178047,0.19533485,0.199158397,0.189988026,0.165844151,0.180147316,0.208568213,0.143687676,0.16131664,0.190139074,0.170769616,0.161890947,0.186453921,0.215944812,0.155856274,0.193906354,0.16641219,0.132053876,0.192813401,0.174035732,0.151894984,0.223061827,0.202799803,0.166265485,0.182478241,0.158657052,0.199939233,0.185062379,0.175520347,0.142215242,0.186353131,0.170533081,0.197118594,0.194300397,0.197063855
407_CL,0.102298476,0.099170866,0.111426246,0.117574586,0.084257305,0,0.137537146,0.137253858,0.142693914,0.170773272,0.186536441,0.1621714,0.162635214,0.142689773,0.144703413,0.187448635,0.145674645,0.147339824,0.140941472,0.143872211,0.134646224,0.163133714,0.191177918,0.11154984,0.095058535,0.154850042,0.167365847,0.174941943,0.186562573,0.18095519,0.21552723,0.129375986,0.127921881,0.128873369,0.090756402,0.133485952,0.148425892,0.07773122,0.142094955,0.126496103,0.167485203,0.35741503,0.157237334,0.137675715,0.202088527,0.134374968,0.144026879,0.164495142,0.120848221,0.126003269,0.205537744,0.152531386,0.162308666,0.113250272,0.108540033,0.129892804,0.152876455,0.121066529,0.172946981,0.139426701,0.124708818,0.09743649,0.172612581,0.12434391,0.179940873,0.130859399,0.110456489,0.179952216,0.213642588,0.169973395,0.210575167,0.192158954,0.192818722,0.147899894,0.183874241,0.206624753,0.20340574,0.157295796,0.125160612,0.116670119,0.135705185,0.121932339,0.193387233,0.155527506,0.150403362,0.154191646,0.168634627,0.129419372,0.119181584,0.078337605,0.090987188,0.145072319,0.080810735,0.151832065,0.11955365,0.086774861,0.113885524,0.129534057,0.164924665,0.095090574,0.125660024,0.073296197,0.191561449,0.11095848,0.12311695,0.109506991,0.116161555,0.085707837,0.158850395,0.115525671,0.117619583,0.174230876,0.136567699,0.147676026,0.18358996,0.094767,0.148794502,0.12308846,0.19525275,0.132944783,0.181547001,0.180736205,0.124309231,0.162133129,0.150957487,0.116404267,0.13222716,0.151337598,0.144079634,0.112775042,0.174146969,0.173857141,0.094846322,0.138499427,0.146388196,0.104441462,0.142850121,0.142360479,0.122432233,0.170366343,0.184602408,0.169584687,0.164555217,0.101554705,0.14148278,0.125389266,0.125138119,0.095074645,0.132080033,0.111513281,0.143952338,0.138198316,0.170996921
408_CC,0.100291909,0.114488762,0.121977935,0.168631978,0.134406398,0.137537146,0,0.123167122,0.153424343,0.152602065,0.181400619,0.210635381,0.181238461,0.202978268,0.209512905,0.177951455,0.168627089,0.110648476,0.157018681,0.169948544,0.163258415,0.151377572,0.181299708,0.157861276,0.192631652,0.188127758,0.184789289,0.210773633,0.137950156,0.171434173,0.180336058,0.187858045,0.198988013,0.153092418,0.189595874,0.207441265,0.154674833,0.185773718,0.174798702,0.151073205,0.188049651,0.35534405,0.19039568,0.15445876,0.179544371,0.144050751,0.155561977,0.097406221,0.179942261,0.195487905,0.211315644,0.158344346,0.221330692,0.177576405,0.165757323,0.191763561,0.173274376,0.181979372,0.186360737,0.122096561,0.190188187,0.123137236,0.116843395,0.152942773,0.199936133,0.122353909,0.16899789,0.184530972,0.197058608,0.220116005,0.143452852,0.153203026,0.143567017,0.140082481,0.153485029,0.26483496,0.240812107,0.128796027,0.162622304,0.14923358,0.144073258,0.139011621,0.215160848,0.142022044,0.145090706,0.107150085,0.13570902,0.215318587,0.155393852,0.168704452,0.176167267,0.172743167,0.164289631,0.12065862,0.15333627,0.153246025,0.156381184,0.160792616,0.133631693,0.131651071,0.137585959,0.163267503,0.140905974,0.161821309,0.148950468,0.158177388,0.178277945,0.15183878,0.155176452,0.175480661,0.135375353,0.201433913,0.146630764,0.170891205,0.160375467,0.137533133,0.126959077,0.166110463,0.160806769,0.157094524,0.140803707,0.16014902,0.142536896,0.175292849,0.180362393,0.167780911,0.173343972,0.157774346,0.155511993,0.111872668,0.159736508,0.182130806,0.169286316,0.188306198,0.173159772,0.128079204,0.194386991,0.123178318,0.088604313,0.172804727,0.126822924,0.189168475,0.188115589,0.13962163,0.144338466,0.124272715,0.16553753,0.156152403,0.180571943,0.154683036,0.133145217,0.197167646,0.158765245
408_CL,0.162392822,0.154250226,0.163285544,0.18009675,0.156366432,0.137253858,0.123167122,0,0.187355175,0.189389756,0.178465811,0.19548533,0.176328525,0.179535302,0.209257419,0.211395981,0.169526308,0.164702979,0.165691515,0.205605427,0.179708076,0.16833594,0.243617579,0.199085254,0.18876199,0.222885592,0.232685854,0.218816416,0.197634151,0.208053798,0.223356159,0.19099159,0.178839545,0.206752339,0.194262365,0.220161571,0.223707094,0.178783361,0.214279182,0.212798534,0.198178714,0.4142641,0.212057745,0.220925473,0.22745413,0.155774371,0.188423476,0.164507968,0.176755387,0.215400831,0.268826584,0.212583449,0.239479359,0.187126418,0.183627565,0.192439937,0.229327123,0.176290584,0.188985287,0.162118452,0.16828773,0.166573221,0.161699121,0.198549277,0.179026859,0.172840339,0.161681316,0.258580273,0.269567954,0.245591784,0.225058147,0.196008542,0.215340413,0.203522515,0.212085356,0.283176307,0.280657748,0.193111471,0.188464193,0.211942546,0.220145119,0.215406403,0.282417587,0.200128469,0.203579206,0.181148742,0.194685127,0.160456761,0.148194408,0.180024349,0.171930689,0.154282627,0.146201992,0.180248559,0.163194038,0.140554351,0.199347696,0.18045317,0.179549468,0.187969799,0.189230715,0.174773574,0.199057304,0.175664445,0.212095855,0.198850517,0.173551684,0.172975068,0.168620312,0.112289167,0.179624421,0.169299013,0.172845455,0.221825527,0.227101264,0.179630957,0.171431963,0.214426738,0.203639299,0.211077252,0.121105267,0.209907162,0.180112443,0.162029347,0.187286646,0.182019543,0.184178895,0.209061982,0.177649256,0.192968301,0.220216177,0.162005707,0.169203109,0.185316095,0.195612087,0.193017085,0.121066021,0.179640651,0.15705741,0.220183518,0.198855102,0.206329064,0.214198178,0.172087089,0.178146821,0.167216435,0.216978707,0.161758029,0.186885304,0.201375952,0.211174404,0.127533831,0.157597061
411_CC,0.138615373,0.112402084,0.128788301,0.161877303,0.198633172,0.142693914,0.153424343,0.187355175,0,0.074217897,0.190906394,0.16170258,0.163525617,0.140742135,0.162651688,0.166364619,0.172458981,0.118970856,0.148529697,0.147925882,0.15583507,0.19504061,0.172744845,0.142106019,0.186281858,0.151684898,0.172955853,0.191004817,0.153448264,0.213762104,0.217628352,0.167182582,0.151975427,0.133083902,0.185312404,0.206062054,0.163318451,0.135577462,0.155367661,0.15150177,0.195988148,0.3658327,0.217495031,0.144779371,0.231345553,0.174531255,0.18509247,0.167319315,0.152118733,0.18708249,0.210763707,0.161618593,0.220513222,0.167885359,0.188014623,0.202988334,0.170847475,0.151374876,0.198442734,0.151008879,0.149846153,0.131334201,0.181665497,0.145823797,0.18555423,0.150656743,0.168184924,0.169804051,0.20185825,0.245532478,0.217944925,0.156540637,0.180028447,0.149388522,0.159061126,0.255422753,0.25421675,0.147789004,0.159581636,0.167956577,0.175491365,0.163393553,0.212155621,0.191937944,0.177611643,0.184020556,0.167452795,0.228276388,0.185105899,0.179771905,0.183873535,0.193150831,0.144010012,0.17334382,0.217445981,0.164768487,0.126818709,0.197102018,0.162354667,0.141499399,0.115241815,0.164587219,0.184992934,0.187361529,0.122783285,0.128701455,0.156056586,0.154582416,0.205233238,0.181473418,0.136374397,0.160037762,0.191416364,0.176904513,0.204459831,0.110717734,0.133917286,0.15373621,0.194845669,0.156102084,0.192676611,0.17002048,0.10760178,0.185296357,0.189259857,0.183933556,0.218637353,0.178072315,0.238837596,0.126681077,0.167691319,0.173215773,0.162709964,0.139276066,0.223496277,0.135118351,0.162827358,0.177896021,0.14359896,0.154273466,0.183009451,0.229302647,0.255117531,0.116394711,0.128842827,0.138161118,0.16100103,0.174966139,0.183272683,0.145364753,0.16586343,0.193975621,0.211114093
411_CL,0.151177627,0.136340196,0.151897536,0.195227784,0.189064732,0.170773272,0.152602065,0.189389756,0.074217897,0,0.168646782,0.185549807,0.155742316,0.176879429,0.20145743,0.18855844,0.224014408,0.162329527,0.171790678,0.137769717,0.167870701,0.193336535,0.211967971,0.172792933,0.214393407,0.184666581,0.217150176,0.19315875,0.160586561,0.205043722,0.209168771,0.201794658,0.191784087,0.157635319,0.199695397,0.243215063,0.18967848,0.170211081,0.175430406,0.190913528,0.204000409,0.377257556,0.219582369,0.171301608,0.23112713,0.175338624,0.221343115,0.1646613,0.195573594,0.193820063,0.232769666,0.183168493,0.236925016,0.194767626,0.217029561,0.173014185,0.161785771,0.155195119,0.178982645,0.137583947,0.177218975,0.173673879,0.180590382,0.162466061,0.199514836,0.146268603,0.19093742,0.197815379,0.222133074,0.27983954,0.213992991,0.133740654,0.166196448,0.162523777,0.167587634,0.287480315,0.271374702,0.121837038,0.164948791,0.198971954,0.199574717,0.187785212,0.232933252,0.187837733,0.190650035,0.16946388,0.192315339,0.2340741,0.169258907,0.196804748,0.191268126,0.197606823,0.145120239,0.170711316,0.204453562,0.147184321,0.129989696,0.190356556,0.153624704,0.165074427,0.156187623,0.189897052,0.153223926,0.18628012,0.149138813,0.170068512,0.17628916,0.175739359,0.179207779,0.221436574,0.146203124,0.176655408,0.17434309,0.198289872,0.194936024,0.141372538,0.106947084,0.149589238,0.168854563,0.14731762,0.153454568,0.161495415,0.140295937,0.147771838,0.192101633,0.182914601,0.203663494,0.170980809,0.226839015,0.149424353,0.17943784,0.168714363,0.173779007,0.184568512,0.183246941,0.162907683,0.183352969,0.164285143,0.13742339,0.174918926,0.156827271,0.220189969,0.24280223,0.123470442,0.154596084,0.15364275,0.186284517,0.178611352,0.198766709,0.186493158,0.201359844,0.229642417,0.204182137
