Sample_ID,Shannon,Faith_PD,Obs_SVs,Pielou
403_DC,3.414915505,2.07360885,43,0.629330794
403_DL,3.016815904,2.274139421,25,0.649635945
405_DC,1.720833271,2.864759825,35,0.335491971
405_DL,3.344353076,3.671174568,60,0.566178266
407_DC,1.413962078,2.801461853,37,0.271422351
407_DL,1.89827824,2.733851671,37,0.364391061
408_DC,2.296652274,2.706276191,36,0.44423319
408_DL,5.007639687,4.346036247,70,0.817002523
411_DC,4.333249741,3.410539831,62,0.727764003
411_DL,4.627643045,3.80192016,69,0.757571338
412_DC,2.03297705,2.693110533,37,0.390247672
412_DL,3.963944254,3.212954496,41,0.739879753
414_DC,3.349203992,2.146555842,41,0.625137001
414_DL,4.609269443,4.361195924,101,0.692268405
420_DC,4.532207113,3.037833608,54,0.787540523
420_DL,4.382094502,3.889355728,76,0.701367692
425_DC,0.954682328,2.230242941,17,0.233563549
425_DL,3.93353387,2.941094811,39,0.744226022
427_DC,4.962022955,4.767316372,97,0.751831588
427_DL,4.655422651,4.317494282,100,0.70071093
428_DC,4.255375592,2.511295451,50,0.753983704
428_DL,5.019321081,4.006113927,73,0.810898763
431_DC,1.857751231,2.847551109,30,0.3786005
431_DL,3.679239368,4.278093112,83,0.577132017
432_DC,2.437831207,3.684929808,58,0.416155534
432_DL,5.10461785,4.427697084,99,0.770001999
433_DC,3.772140504,3.166502493,56,0.64954537
433_DL,3.954532363,3.034373813,35,0.770971762
437_DC,2.037243604,2.693862441,40,0.382801791
437_DL,1.580171586,2.359900664,27,0.332325756
438_DC,4.097295731,4.167579254,69,0.670750483
438_DL,4.358533922,4.207467165,84,0.681839407
439_DC,2.93330798,2.797377208,41,0.547509007
439_DL,1.699431301,2.775283081,31,0.343028656
444_DC,2.935004356,2.919961164,50,0.520035284
444_DL,2.476218722,3.239867455,47,0.445796942
449_DC,1.895058186,2.701835445,31,0.382515764
449_DL,5.113687396,4.795512187,100,0.769686647
450_DC,4.478847472,3.929981416,55,0.774704861
450_DL,5.010620551,3.955695536,101,0.752547522
451_DC,1.931344792,3.041597329,36,0.373573077
451_DL,4.612952657,3.144404453,37,0.885496487
452_DC,3.346069116,2.500312677,43,0.616643173
452_DL,3.602122633,2.391133903,28,0.74929409
456_DC,5.149820531,4.737802964,95,0.783855969
456_DL,4.930729857,3.806532255,61,0.83138564
459_DC,0.792433651,0.929762647,7,0.282270562
459_DL,2.492884936,2.658367439,30,0.508037603
461_DC,0.781354751,1.573024225,11,0.225862176
463_DC,3.06601034,2.62094464,42,0.568588623
463_DL,4.383031218,3.719167101,47,0.789082925
464_DC,0.680023585,1.941068834,24,0.148316062
464_DL,4.492317507,3.425955095,45,0.817996663
465_DC,3.802208434,2.768960363,47,0.684516629
465_DL,3.804948771,2.928079754,34,0.747906941
466_DC,2.66630274,2.266557954,39,0.504465437
466_DL,2.226279574,2.346207046,32,0.445255915
471_DC,1.612828447,2.183746044,25,0.347303702
471_DL,4.77957308,3.842839125,56,0.82302066
472_DC,2.655334376,2.900930013,42,0.492429167
472_DL,4.133269424,3.268482297,38,0.787600327
475_DC,0.904648225,1.028707308,9,0.285384741
475_DL,3.236717317,3.63763013,45,0.589367061
476_DC,2.394185139,2.553618363,39,0.452980689
476_DL,1.648446402,2.103121665,23,0.364413358
478_DC,2.19640357,2.573323931,38,0.418527803
478_DL,4.179249309,3.163960604,38,0.796361859
481_DC,3.586037175,3.450231796,57,0.614795953
