Family,403_DC,403_DL,405_DC,405_DL,407_DC,407_DL,408_DC,408_DL,411_DC,411_DL,412_DC,412_DL,414_DC,414_DL,420_DC,420_DL,425_DC,425_DL,427_DC,427_DL,428_DC,428_DL,431_DC,431_DL,432_DC,432_DL,433_DC,433_DL,437_DC,437_DL,438_DC,438_DL,439_DC,439_DL,444_DC,444_DL,449_DC,449_DL,450_DC,450_DL,451_DC,451_DL,452_DC,452_DL,456_DC,456_DL,459_DC,459_DL,461_DC,461_DL,463_DC,463_DL,464_DC,464_DL,465_DC,465_DL,466_DC,466_DL,471_DC,471_DL,472_DC,472_DL,475_DC,475_DL,476_DC,476_DL,478_DC,478_DL,481_DC,481_DL,482_DC,482_DL,484_DC,484_DL,485_DC,485_DL,489_DC,489_DL,495_DC,495_DL,500_DC,500_DL,505_DC,505_DL,509_DC,509_DL,510_DC,510_DL,515_DC,515_DL,517_DC,517_DL,518_DC,518_DL,519_DC,519_DL,521_DC,521_DL,522_DC,522_DL,524_DC,524_DL,528_DC,528_DL,532_DC,532_DL,534_DC,534_DL,535_DC,535_DL,536_DC,536_DL,538_DC,538_DL,541_DC,541_DL,542_DC,542_DL,547_DC,547_DL,548_DC,548_DL,549_DC,549_DL,553_DC,553_DL,555_DC,555_DL,562_DC,562_DL,564_DC,564_DL,568_DC,568_DL,571_DC,571_DL,572_DC,572_DL,573_DC,573_DL,577_DC,577_DL,578_DC,578_DL,579_DC,579_DL,580_DC,580_DL,584_DC,584_DL,590_DC,590_DL,592_DC,592_DL
Lachnospiraceae,2426,37,1272,559,1300,101,428,1690,17336,1908,1893,243,1032,27493,2602,3393,359,434,12219,34000,3363,2228,502,6497,4154,20404,5960,131,1718,155,3559,16913,1642,188,3303,706,361,9881,5578,57763,264,751,2832,17,13786,2107,58,198,117,31,1606,484,468,913,4339,119,993,164,213,1599,182,218,0,156,3069,470,511,102,2467,1153,4460,8248,1715,408,1534,217,4032,955,786,4258,142,36,605,47,1204,92,1616,20,94,39,17750,4950,4,29,980,1049,12899,22682,1060,187,832,941,2060,4695,26598,4569,1679,1851,740,757,512,404,5250,269,12,5011,456,763,619,101,1337,90,1148,85,1935,1257,1880,842,3519,1135,3847,661,4913,14315,693,129,443,1363,475,36,286,223,289,253,4201,1583,3450,6195,1065,681,1808,290,6326,279
Ruminococcaceae,110,0,134,37,11,5,0,8,5422,66,476,5,76,770,867,661,0,6,582,685,238,54,0,255,407,676,253,0,229,64,217,475,56,3,753,53,30,119,99,2670,52,0,74,0,695,116,33,0,0,0,187,6,18,3,740,133,50,6,0,0,56,10,0,13,140,8,151,91,461,41,650,266,71,106,33,65,127,0,83,72,0,0,27,0,26,2,61,0,0,0,2124,351,0,9,15,147,985,525,47,0,0,0,36,53,661,33,0,127,0,75,54,0,5,0,0,17,4,0,27,20,119,0,8,18,51,5,54,122,69,43,61,74,237,425,62,0,6,46,10,0,0,0,0,0,212,97,138,154,66,5,85,14,419,3
Oscillospiraceae,48,0,130,4,9,0,14,211,676,112,87,0,20,1080,13,133,0,8,906,1500,76,94,0,467,286,754,72,0,75,0,41,926,41,0,178,22,4,953,68,4471,40,15,42,0,772,234,0,0,0,0,79,25,13,204,230,3,0,2,0,124,0,45,0,20,31,2,0,0,25,0,138,495,39,0,31,0,177,45,7,148,0,0,11,0,34,0,10,0,0,0,287,51,10,64,56,6,292,566,51,0,0,240,32,278,597,303,11,0,45,99,18,41,4,0,0,216,4,27,7,3,44,0,7,0,32,71,11,14,222,72,40,0,134,1288,79,18,0,142,0,15,0,0,0,0,74,0,76,389,7,23,88,0,160,0
Peptococcaceae,7,0,0,0,0,0,0,16,0,0,0,0,0,47,0,0,0,0,11,76,7,0,0,0,12,0,42,0,7,0,0,33,0,0,0,0,0,11,0,159,0,0,0,0,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,217,7,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,22,0,0,0,0,0,15,52,0,0,0,0,2,0,95,85,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,6,0,100,0,0,0,0,21,0,0,0,2,0,0,29,60,0,0,0,0,10,0
Anaerovoracaceae,27,0,0,2,0,0,0,0,182,0,13,0,5,54,33,12,0,0,11,84,17,10,0,9,66,53,0,0,20,0,0,30,17,0,7,0,11,40,4,211,0,0,13,0,51,0,0,0,0,0,14,11,0,0,50,0,19,0,0,0,0,0,0,0,23,0,0,0,0,0,80,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,35,0,0,0,101,30,0,0,0,0,44,36,0,0,0,0,15,3,246,10,0,90,0,0,0,0,0,0,0,0,5,19,6,39,5,0,8,0,15,18,0,0,0,0,11,92,22,49,0,0,0,20,0,0,0,0,0,0,17,0,46,9,0,0,16,0,37,0
Corynebacteriaceae,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,122,80,0,0,20,0,0,0,23,0,0,0,95,2,0,0,0,0,0,0,0,100,26,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,12,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,24,0,132,0,10,18,12,70,0,33,0,0,0,296,0,0,0,0,0,5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,12,0,0,0,0,0,0,7,0,0,0,0,0,0,37,0,0,0,42,0,0,18,0
Muribaculaceae,29545,319,4568,1272,729,687,2779,533,28162,1968,3172,417,5641,3919,10707,1552,456,804,1201,4056,31055,691,479,2982,18996,3113,41036,369,7846,180,4591,1205,22588,257,8220,2282,6277,1010,481,13956,74,268,30867,222,1591,244,15,380,730,111,14225,2554,6584,497,28213,311,21069,93,7295,413,2846,232,7,467,9882,194,2891,811,9339,1076,45541,2288,17468,537,6623,238,17928,1703,7140,882,437,162,11665,178,18602,209,3305,200,115,10,18854,1684,788,129,14598,99,16538,2604,16783,800,2264,307,15863,2741,1470,677,11107,9037,5672,424,7226,1785,4987,91,22,3494,3702,1299,8566,1996,14897,554,7929,159,17530,3265,15631,2297,11140,584,7281,895,2701,4970,8398,1297,909,1560,4085,120,586,102,3438,1770,2215,1379,36942,10951,1854,926,33201,492,50046,580
Bacteroidaceae,0,0,3,24,60,0,0,78,15,44,0,0,0,1232,0,54,0,35,407,2434,19,134,87,231,1024,458,181,65,111,0,854,632,25,0,782,11,3,380,0,6973,112,0,0,2,565,57,0,98,0,0,0,54,26,30,0,0,0,4,0,259,0,0,0,6,0,3,0,0,6,0,61,263,0,0,0,5,0,57,8,210,0,0,0,0,0,7,0,6,0,0,6,4,0,0,0,7,101,0,15,0,0,118,0,104,281,516,0,71,0,151,0,0,4,15,0,183,4,30,0,0,0,0,0,19,0,22,0,0,198,52,0,0,23,815,0,0,5,63,0,0,0,0,0,0,49,49,64,684,0,10,0,14,0,0
Acholeplasmataceae,0,0,0,0,0,0,0,4,0,0,0,0,0,276,0,0,0,0,68,382,0,3,0,15,0,0,2,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,0,0,0,0,0,0,11,160,0,0,0,0,0,0,0,0,0,0,25,0,21,49,0,0,28,0,0,0
Enterobacteriaceae,10,25,14,162,0,27,21,141,26,39,26,240,0,8,19,35,25,8,30,44,5,6,79,18,39,106,21,18,24,24,17,6,21,13,12,238,23,7,11,9,80,74,11,361,19,47,22,25,66,0,0,15,0,41,0,25,7,37,238,60,143,27,20,87,9,14,23,625,23,7056,7,18,54,11,117,34,30,19,75,0,9,8,20,46,8,18,25,52,10,21,6,35,33,50,29,61,10,26,17,88,39,22,7,155,22,73,11,26,25,3,16,34,33,27,9,26,24,120,9,10,13,28,8,20,8,29,22,19,19,30,11,29,0,16,10,16,39,26,13,595,7,5,6,58,39,52,12,40,4,5,37,50,14,30
Xanthobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,16,0,40,0,0
