Genus,403_DC,403_DL,405_DC,405_DL,407_DC,407_DL,408_DC,408_DL,411_DC,411_DL,412_DC,412_DL,414_DC,414_DL,420_DC,420_DL,425_DC,425_DL,427_DC,427_DL,428_DC,428_DL,431_DC,431_DL,432_DC,432_DL,433_DC,433_DL,437_DC,437_DL,438_DC,438_DL,439_DC,439_DL,444_DC,444_DL,449_DC,449_DL,450_DC,450_DL,451_DC,451_DL,452_DC,452_DL,456_DC,456_DL,459_DC,459_DL,461_DC,461_DL,463_DC,463_DL,464_DC,464_DL,465_DC,465_DL,466_DC,466_DL,471_DC,471_DL,472_DC,472_DL,475_DC,475_DL,476_DC,476_DL,478_DC,478_DL,481_DC,481_DL,482_DC,482_DL,484_DC,484_DL,485_DC,485_DL,489_DC,489_DL,495_DC,495_DL,500_DC,500_DL,505_DC,505_DL,509_DC,509_DL,510_DC,510_DL,515_DC,515_DL,517_DC,517_DL,518_DC,518_DL,519_DC,519_DL,521_DC,521_DL,522_DC,522_DL,524_DC,524_DL,528_DC,528_DL,532_DC,532_DL,534_DC,534_DL,535_DC,535_DL,536_DC,536_DL,538_DC,538_DL,541_DC,541_DL,542_DC,542_DL,547_DC,547_DL,548_DC,548_DL,549_DC,549_DL,553_DC,553_DL,555_DC,555_DL,562_DC,562_DL,564_DC,564_DL,568_DC,568_DL,571_DC,571_DL,572_DC,572_DL,573_DC,573_DL,577_DC,577_DL,578_DC,578_DL,579_DC,579_DL,580_DC,580_DL,584_DC,584_DL,590_DC,590_DL,592_DC,592_DL
A2,360,3,136,113,68,11,0,205,7015,311,611,92,595,3959,995,1560,57,33,1055,2950,1018,304,88,524,443,2679,700,0,302,4,295,1852,453,33,440,246,13,722,545,6072,0,10,608,8,1420,216,0,0,8,4,72,111,172,41,283,69,440,78,23,240,33,23,0,16,169,180,112,15,352,303,621,767,106,86,34,0,1114,48,53,412,51,0,47,6,498,61,658,0,6,13,4262,2135,0,0,240,111,1724,1464,193,0,92,102,879,555,3415,493,193,486,15,52,148,24,1848,79,0,812,70,113,229,27,487,4,168,0,741,73,437,89,564,190,1015,209,237,901,116,0,41,29,108,0,10,65,167,62,611,334,308,298,202,98,242,62,1924,143
Acetatifactor,0,0,0,0,0,0,0,13,0,0,0,0,0,119,0,0,0,0,16,238,9,35,0,58,0,100,0,0,8,0,0,37,0,0,16,0,0,13,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,100,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,31,18,0,0,0,0,27,0,0,0,0,0,8,18,35,11,31,0,0,0,0,0,40,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,31,0,25,7,13,89,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Acinetobacter,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerococcus,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes,0,0,0,2,0,2,0,0,44,17,0,0,0,459,0,0,0,6,59,518,42,29,0,0,70,281,0,0,31,0,72,571,0,0,33,3,0,85,9,1398,5,78,0,0,106,110,0,0,0,0,0,20,0,0,0,0,0,2,0,6,0,0,0,3,0,0,0,0,0,2,22,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,321,0,0,0,0,0,3,34,67,0,0,0,22,0,17,0,28,0,24,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0,0,70,332,0,0,0,16,0,0,0,0,0,0,97,2,0,37,2,0,0,0,0,0
Alloprevotella,0,0,0,4,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,424,0,0,0,0,99,0,0,0,2,0,139,0,9,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,13,0,0,28,466,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-N-P-R ,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,0,0,26,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,58,0,0,0,0,10,0,0,11,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaeroplasma,0,0,0,0,0,0,0,4,0,0,0,0,0,276,0,0,0,0,68,382,0,3,0,15,0,0,2,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,0,0,0,0,0,0,11,160,0,0,0,0,0,0,0,0,0,0,25,0,21,49,0,0,28,0,0,0
Anaerotruncus,0,0,0,0,0,0,0,0,23,6,0,0,0,110,0,0,0,6,221,195,2,0,0,56,48,153,0,0,0,0,150,13,0,0,22,0,0,28,63,906,9,0,0,0,129,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,0,0,0,50,0,0,36,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,129,126,73,0,0,0,0,0,30,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,8,0,0,133,56,0,0,0,29,0,0,0,0,0,0,101,0,56,47,34,5,14,14,0,0
