,403_DC,403_DL,405_DC,405_DL,407_DC,407_DL,408_DC,408_DL,411_DC,411_DL,412_DC,412_DL,414_DC,414_DL,420_DC,420_DL,425_DC,425_DL,427_DC,427_DL,428_DC,428_DL,431_DC,431_DL,432_DC,432_DL,433_DC,433_DL,437_DC,437_DL,438_DC,438_DL,439_DC,439_DL,444_DC,444_DL,449_DC,449_DL,450_DC,450_DL,451_DC,451_DL,452_DC,452_DL,456_DC,456_DL,459_DC,459_DL,461_DC,463_DC,463_DL,464_DC,464_DL,465_DC,465_DL,466_DC,466_DL,471_DC,471_DL,472_DC,472_DL,475_DC,475_DL,476_DC,476_DL,478_DC,478_DL,481_DC,481_DL,482_DC,482_DL,484_DC,484_DL,485_DC,485_DL,489_DC,489_DL,495_DC,495_DL,500_DC,500_DL,505_DC,505_DL,509_DC,509_DL,510_DC,510_DL,515_DC,515_DL,517_DC,517_DL,518_DC,518_DL,519_DC,519_DL,521_DC,521_DL,522_DC,522_DL,524_DC,524_DL,528_DC,528_DL,532_DC,532_DL,534_DC,534_DL,535_DC,535_DL,536_DC,536_DL,538_DC,538_DL,541_DC,541_DL,542_DC,542_DL,547_DC,547_DL,548_DC,548_DL,549_DC,549_DL,553_DC,553_DL,555_DC,555_DL,562_DC,562_DL,564_DC,564_DL,568_DC,568_DL,571_DC,571_DL,572_DC,572_DL,573_DC,573_DL,577_DC,577_DL,578_DC,578_DL,579_DC,579_DL,580_DC,580_DL,584_DC,584_DL,590_DC,590_DL,592_DC,592_DL
403_DC,0,0.516211003,0.455578129,0.525153543,0.542181432,0.395945538,0.525237781,0.602593779,0.454535413,0.536249327,0.404273056,0.504862457,0.174485412,0.657446992,0.401385257,0.565790316,0.649020761,0.630637028,0.619912996,0.664394407,0.327388329,0.575811743,0.5843345,0.599645551,0.522566656,0.666861939,0.449021854,0.606100948,0.433118902,0.625600932,0.571739263,0.608892567,0.421651332,0.443145634,0.441267163,0.514131692,0.434130098,0.701558782,0.660361395,0.627299949,0.678050954,0.684498769,0.332716772,0.459812224,0.622347208,0.620807128,0.836843221,0.659987661,0.627121692,0.378657417,0.60702166,0.418458981,0.602683032,0.396431228,0.538806361,0.275948302,0.645840757,0.451742345,0.634751016,0.474117443,0.543039592,0.873182758,0.556185877,0.342314266,0.510147612,0.421762916,0.579234083,0.485729775,0.505935516,0.375127711,0.610024024,0.3600889,0.618875015,0.199178416,0.563006832,0.29631744,0.522933607,0.354718845,0.505925665,0.613877366,0.551537033,0.349085057,0.59269038,0.361315037,0.612323277,0.39775416,0.553425282,0.732316816,0.768819612,0.48142304,0.576805931,0.581693112,0.664469308,0.444906699,0.634275123,0.567027769,0.616820558,0.264484056,0.479560272,0.551055449,0.628901115,0.285425576,0.6160962,0.562988318,0.684663477,0.387067313,0.574822778,0.514633306,0.61738534,0.288210508,0.545469077,0.365927229,0.622258094,0.694470944,0.546595937,0.466529956,0.562399715,0.383077247,0.481573597,0.324409064,0.54254559,0.422988316,0.609028246,0.340453467,0.605820914,0.222781995,0.501614491,0.534804985,0.612968111,0.375373228,0.603815414,0.597851937,0.645551487,0.363304581,0.562253942,0.492577107,0.594545112,0.250748341,0.65870353,0.477807541,0.642570926,0.362900793,0.590778278,0.652353454,0.609507362,0.387634225,0.602553957,0.476263064,0.528125979,0.353862661,0.587781424,0.346894522,0.494320155
403_DL,0.516211003,0,0.406602163,0.389782256,0.409103885,0.290104695,0.279423001,0.484081034,0.600585208,0.423837435,0.566010277,0.308537308,0.468577371,0.699518058,0.473125977,0.478447731,0.415633005,0.423168623,0.608953734,0.700598273,0.538578027,0.540092675,0.399856489,0.535086774,0.519297106,0.608120744,0.420056277,0.402056532,0.484936406,0.335251933,0.542199874,0.636534452,0.565377985,0.261297831,0.609527198,0.349885471,0.42670259,0.66310516,0.576909599,0.648393127,0.580217973,0.439274885,0.517019679,0.159666996,0.615587009,0.499155486,0.666838859,0.384276972,0.555571034,0.550928068,0.492365225,0.533610809,0.386034147,0.534795602,0.355504057,0.386037601,0.321025609,0.44252783,0.48651048,0.277554622,0.396092434,0.630621855,0.381062281,0.538926824,0.371387387,0.436982339,0.342404537,0.482730059,0.343505877,0.560410815,0.596305452,0.456351494,0.394143414,0.453632142,0.418564545,0.548517376,0.365765091,0.362657881,0.509079424,0.282118755,0.337665158,0.498304625,0.414225343,0.481524504,0.443893736,0.490437575,0.306671385,0.70214732,0.654785382,0.626661284,0.483149171,0.505369254,0.395558407,0.43176072,0.467105932,0.601174545,0.540558191,0.443142137,0.404626039,0.214563404,0.442048694,0.465281508,0.580582081,0.629459419,0.591899099,0.464644963,0.512223709,0.510657264,0.498957641,0.39510938,0.505403784,0.501753809,0.360026518,0.673194765,0.487262591,0.274475215,0.412014867,0.436409089,0.39112402,0.466272512,0.311466865,0.563814206,0.492353695,0.501174857,0.486677999,0.5211473,0.443595219,0.467598191,0.51042628,0.566292788,0.381661908,0.601362608,0.660997711,0.513208255,0.473466572,0.293727469,0.568295048,0.395966771,0.361484518,0.326404298,0.335296424,0.378352645,0.213584248,0.522351326,0.420093007,0.451387425,0.558565656,0.352210583,0.524635993,0.427106176,0.308326867,0.580701036,0.137119707
405_DC,0.455578129,0.406602163,0,0.381691936,0.421853584,0.364304834,0.407205181,0.426977677,0.524849572,0.442229873,0.458971374,0.382765455,0.458228037,0.618386005,0.507159767,0.372726194,0.589913712,0.558350449,0.55612944,0.660514784,0.490924617,0.45413769,0.533606394,0.489550343,0.466198866,0.547699475,0.371164152,0.485480561,0.465911071,0.507134734,0.530105605,0.565476047,0.531446609,0.401601015,0.570938921,0.284561937,0.467126379,0.619281508,0.591499047,0.595080465,0.556654574,0.479087626,0.427563502,0.364311806,0.49710003,0.448289294,0.723893948,0.567626961,0.52447872,0.441053224,0.441840014,0.484120555,0.42908158,0.489801046,0.331707015,0.377590573,0.487905232,0.431784212,0.534756372,0.307726147,0.339664039,0.767313765,0.385364389,0.424005185,0.522514128,0.411090917,0.503943141,0.467691788,0.513093835,0.465757334,0.510585326,0.474992037,0.487493637,0.493596063,0.56756694,0.44301039,0.330096611,0.425766595,0.456535638,0.526913765,0.56954239,0.501282535,0.465445612,0.474728748,0.64036085,0.490649655,0.489042558,0.790989648,0.708760626,0.560727691,0.38377986,0.445665336,0.52306622,0.489398182,0.529591167,0.509778819,0.491958441,0.550867659,0.535779114,0.466048528,0.524345983,0.499041225,0.507658877,0.564030872,0.616136478,0.490116173,0.477671931,0.508847533,0.412231985,0.412613197,0.543356315,0.544980629,0.456686649,0.777778653,0.430952927,0.378060508,0.474690367,0.469948103,0.266897583,0.374802029,0.489764229,0.585204141,0.476617594,0.470081156,0.546768586,0.513628189,0.420991752,0.472740131,0.489077613,0.463323524,0.440050657,0.550703451,0.622592975,0.427315118,0.481367739,0.439246754,0.514872114,0.444344405,0.509709576,0.398162645,0.555866037,0.520008768,0.493019417,0.56479199,0.547081323,0.434521252,0.432998278,0.427491852,0.527937152,0.464884054,0.529623201,0.460540855,0.397305288
405_DL,0.525153543,0.389782256,0.381691936,0,0.378569862,0.362600158,0.439417061,0.308198231,0.514226065,0.341208784,0.560006732,0.2213307,0.486419085,0.576685048,0.390499115,0.323285078,0.546419906,0.437037663,0.492207436,0.58947836,0.480216463,0.463624082,0.504289497,0.451840393,0.446808893,0.437078388,0.406828802,0.420832349,0.388063658,0.417375211,0.444897108,0.551783188,0.537124049,0.345983336,0.529503986,0.291553409,0.468379321,0.559430284,0.512192198,0.538926363,0.465635927,0.373249018,0.534020344,0.357318697,0.414728906,0.391287071,0.75437462,0.415397268,0.605014599,0.546910296,0.449131357,0.601254398,0.335078938,0.485813059,0.369568716,0.409097364,0.425186907,0.546130699,0.443094795,0.261388261,0.231686994,0.760281863,0.250288879,0.50943586,0.44624567,0.402951427,0.32585523,0.442588679,0.438565804,0.517181672,0.501899542,0.512333765,0.48761318,0.531484983,0.502227171,0.576373937,0.36527003,0.381686984,0.393783372,0.469875809,0.544411997,0.52242072,0.314833618,0.497862233,0.523356925,0.436279402,0.410465451,0.803067869,0.733207348,0.545437767,0.336527003,0.578413909,0.491450139,0.476844521,0.415822653,0.518194978,0.425043005,0.538538478,0.497399794,0.352327814,0.450257193,0.521578799,0.501317285,0.515065234,0.49939734,0.435274628,0.395254506,0.497052443,0.36263583,0.469715983,0.52153649,0.491249489,0.375889834,0.797440753,0.435100716,0.378616845,0.47654814,0.441391749,0.433805311,0.43796944,0.412716818,0.530534092,0.407120113,0.535118911,0.404961559,0.523180711,0.430072824,0.421787029,0.353712399,0.494546065,0.316877041,0.476957821,0.523801148,0.472688202,0.510797014,0.309201068,0.506556859,0.509900759,0.538459258,0.412699539,0.49965172,0.476832776,0.425206954,0.456398508,0.436444524,0.441904102,0.423010129,0.333931864,0.506569734,0.476680324,0.424664192,0.511414282,0.320952158
407_DC,0.542181432,0.409103885,0.421853584,0.378569862,0,0.441417312,0.460200376,0.401998338,0.569652789,0.461594713,0.596621654,0.362534828,0.478742409,0.627373496,0.513583858,0.409510683,0.546326271,0.475730342,0.562748353,0.593260811,0.482941179,0.467172606,0.497312997,0.467392199,0.483806414,0.536238171,0.48580235,0.492011272,0.412593088,0.464126572,0.518574992,0.535480598,0.562553437,0.33203555,0.552550607,0.407789187,0.446644234,0.613295207,0.584183544,0.570984999,0.536977758,0.400333002,0.551427497,0.462864043,0.489345943,0.422332822,0.711749791,0.52184847,0.522140711,0.527238309,0.477638868,0.588691128,0.434794207,0.472749155,0.315784076,0.450609305,0.445382739,0.554672284,0.567961127,0.323296345,0.38240086,0.726553344,0.344412821,0.550851987,0.542867266,0.460851917,0.456852837,0.488386724,0.518303234,0.52433031,0.53872869,0.479961689,0.447449349,0.548171599,0.521774576,0.592665133,0.407870142,0.485105046,0.487938073,0.448260282,0.515865787,0.53211452,0.446739704,0.591077051,0.566077699,0.542816965,0.499344102,0.781382786,0.714450396,0.585621452,0.403176222,0.581169027,0.475341668,0.458299058,0.396822191,0.515563305,0.451076756,0.514423484,0.558694279,0.45831507,0.513097246,0.57820563,0.555092551,0.525756077,0.572156203,0.489036532,0.406366256,0.437740138,0.468988133,0.49488927,0.588727765,0.533321703,0.395251276,0.733071774,0.459844693,0.471742348,0.481266613,0.483420944,0.376673698,0.540587592,0.497683897,0.596306888,0.438811456,0.592793545,0.522489582,0.495469196,0.463201388,0.475481069,0.417456318,0.501106032,0.3441273,0.549843936,0.617282671,0.57231691,0.581120765,0.414899818,0.506786976,0.531582857,0.601177029,0.414619119,0.508540301,0.486480572,0.463663206,0.523801086,0.454824224,0.45845878,0.45590009,0.43747755,0.552500493,0.460095023,0.453468548,0.536862914,0.365397715
407_DL,0.395945538,0.290104695,0.364304834,0.362600158,0.441417312,0,0.296000992,0.465025367,0.552757082,0.409785775,0.526112077,0.309378768,0.403449556,0.667274073,0.463763214,0.458582388,0.523828668,0.438561988,0.590299106,0.668044646,0.502355542,0.50254627,0.411579715,0.471504485,0.518615881,0.56414491,0.407805744,0.396667538,0.42429418,0.388032253,0.479249572,0.610686502,0.507162251,0.252071513,0.535655754,0.359734072,0.39838152,0.621299322,0.544127247,0.608484853,0.595565531,0.482102991,0.440092235,0.22558222,0.579243927,0.521809859,0.70960187,0.41753824,0.59959468,0.518032131,0.445631925,0.527094697,0.442712979,0.473864147,0.310327454,0.345344854,0.405617132,0.452514001,0.487346258,0.327708666,0.380874805,0.657339507,0.365733825,0.437500044,0.402273813,0.381572242,0.393631389,0.446131067,0.395185464,0.493104976,0.54010441,0.437239959,0.429791717,0.416595077,0.480742724,0.499062477,0.415187883,0.288194366,0.478848032,0.398469669,0.462958339,0.425374012,0.399827811,0.41720904,0.517618996,0.401934817,0.37114951,0.735548114,0.665918319,0.571972555,0.456770992,0.472935334,0.4412295,0.385517941,0.514153618,0.529765075,0.535710583,0.437902295,0.377747434,0.349376047,0.415771757,0.466026973,0.536317421,0.568660953,0.578626191,0.427010637,0.428562429,0.517945405,0.507316875,0.385484405,0.510672177,0.5095235,0.436044023,0.728079439,0.406460143,0.217488436,0.46353967,0.384198023,0.372233864,0.421173953,0.342664735,0.460929674,0.516841639,0.449867713,0.4855421,0.428701244,0.430886766,0.474899086,0.462331213,0.510498375,0.430018538,0.565918488,0.620195777,0.453890152,0.514074054,0.291708682,0.524220785,0.359157081,0.445007859,0.322525045,0.42768389,0.424394285,0.373720961,0.507755224,0.442188266,0.402745466,0.535454131,0.32451027,0.506360005,0.371208988,0.414832927,0.502060708,0.239030274
408_DC,0.525237781,0.279423001,0.407205181,0.439417061,0.460200376,0.296000992,0,0.440053462,0.552836357,0.360847644,0.536325472,0.362729222,0.490286774,0.646093737,0.49855053,0.448323076,0.496546663,0.398078694,0.561237061,0.64942622,0.517808096,0.48527845,0.446515986,0.459803105,0.471632575,0.543440917,0.375097957,0.353977412,0.522234466,0.451329764,0.480316676,0.594808463,0.536641039,0.299155524,0.578301597,0.308341033,0.437433192,0.609375959,0.488840287,0.578197978,0.517804344,0.471476419,0.452675827,0.288226928,0.54553511,0.489207546,0.717615651,0.407162198,0.617612288,0.531632327,0.410038429,0.477518096,0.382232958,0.487549521,0.397056983,0.414590868,0.369341912,0.43440921,0.414432561,0.297891635,0.36203683,0.634161985,0.404496637,0.416353416,0.493720338,0.496811852,0.412403532,0.41843475,0.413741013,0.485099931,0.540477112,0.428367934,0.508153551,0.51015176,0.450333069,0.489654396,0.378115865,0.392194646,0.460833665,0.416234079,0.443970678,0.469559873,0.444306048,0.488191756,0.553271569,0.426188081,0.36956593,0.732853487,0.691090729,0.548173409,0.451500701,0.435432166,0.406522781,0.399081212,0.489111982,0.507663723,0.500713124,0.454382954,0.388167069,0.342644612,0.322376798,0.486975667,0.528258546,0.589600359,0.539507592,0.502580265,0.473195807,0.503490819,0.450862973,0.422848714,0.438974545,0.523660328,0.432259492,0.723683324,0.366588438,0.227376407,0.41770137,0.480964666,0.326670138,0.419010451,0.390366793,0.510264167,0.485348513,0.442455044,0.470578604,0.524524265,0.397887551,0.38264467,0.495704446,0.506666084,0.437071917,0.537731363,0.600072899,0.450114759,0.410857312,0.309495751,0.473675458,0.441137139,0.384884991,0.345844457,0.363988963,0.437560865,0.32321133,0.491870735,0.432108526,0.458498285,0.518720575,0.347485733,0.401047271,0.378615267,0.390098762,0.485648401,0.300936651
408_DL,0.602593779,0.484081034,0.426977677,0.308198231,0.401998338,0.465025367,0.440053462,0,0.5321994,0.251365923,0.571778084,0.289208863,0.565288162,0.546173804,0.480989794,0.362052379,0.61541982,0.461386973,0.408792193,0.543757405,0.506788561,0.409590258,0.544104996,0.373095407,0.433641056,0.432536461,0.444637762,0.481412963,0.452936923,0.46466439,0.443578802,0.468628783,0.540827559,0.38664206,0.560423793,0.311517446,0.548688786,0.44845679,0.498560017,0.476861033,0.461020352,0.372836022,0.533361002,0.455320125,0.364808718,0.373304616,0.792319386,0.518621112,0.667229007,0.575734708,0.39492471,0.608230741,0.250192878,0.499574048,0.384071252,0.520356706,0.46630107,0.543535842,0.460409498,0.365419787,0.300516051,0.801304873,0.295530029,0.508857287,0.56438279,0.499648469,0.452056632,0.436027724,0.485992843,0.475702991,0.439602359,0.523398276,0.470355343,0.623244162,0.464278021,0.590619261,0.410752588,0.492045982,0.446846019,0.554309717,0.571709436,0.555510984,0.336648273,0.567750544,0.594376254,0.506786326,0.39379807,0.833647902,0.791540888,0.511696579,0.293411369,0.586649224,0.50565059,0.489017616,0.430886417,0.460563688,0.328035591,0.591404963,0.574021103,0.484155282,0.448920131,0.604981909,0.463283779,0.448742883,0.451235663,0.518305062,0.364245719,0.545543274,0.412287325,0.556049115,0.550758138,0.525069016,0.418292836,0.828869571,0.37668099,0.456141091,0.466632041,0.526263552,0.451866385,0.494259169,0.498813441,0.614649236,0.392885904,0.568046447,0.366545551,0.560713667,0.36352196,0.386635779,0.326375723,0.477141557,0.360505205,0.463121191,0.448805036,0.480714977,0.53143197,0.410024702,0.387181595,0.593966948,0.530790537,0.494653387,0.542694828,0.537111143,0.484063626,0.415583877,0.461043288,0.529953266,0.396697498,0.38533113,0.512890386,0.562468301,0.476024336,0.511459154,0.42752309
411_DC,0.454535413,0.600585208,0.524849572,0.514226065,0.569652789,0.552757082,0.552836357,0.5321994,0,0.462242005,0.328279431,0.511624894,0.41201043,0.535922717,0.292119879,0.458542923,0.683054278,0.551715318,0.528850042,0.591790141,0.444501393,0.488145249,0.647970122,0.514755806,0.476615592,0.551274818,0.38243269,0.652279477,0.467478639,0.624511948,0.487268532,0.462578473,0.497144214,0.536626844,0.494856955,0.499292632,0.550612976,0.530305884,0.504465378,0.523507274,0.590202373,0.619314126,0.455985464,0.590652296,0.49257152,0.535509854,0.846736318,0.653082394,0.705615322,0.345096512,0.514917879,0.508095199,0.576216293,0.322445218,0.552922349,0.454119654,0.620708479,0.586096581,0.57414055,0.549456262,0.503758923,0.874730224,0.544777364,0.417603027,0.598766407,0.503966776,0.491176678,0.505255879,0.563867623,0.428208732,0.546768248,0.52207991,0.649766647,0.479670763,0.600835814,0.438057883,0.554141853,0.487210303,0.456335632,0.636678946,0.631835025,0.504646119,0.579177937,0.496183817,0.627827036,0.423652127,0.591067477,0.833325898,0.862321945,0.451932446,0.467204434,0.635384667,0.674177016,0.524227398,0.616617335,0.511383332,0.535520838,0.504937963,0.57612609,0.611467235,0.578688296,0.517246918,0.506785389,0.503447559,0.499287071,0.500840248,0.543230274,0.60434528,0.500486461,0.530391958,0.522320175,0.443155055,0.617536879,0.811242219,0.476059521,0.558375411,0.544781284,0.483826991,0.516388549,0.378256134,0.503718738,0.536370057,0.588543858,0.397539149,0.564690238,0.479963225,0.469976881,0.472816796,0.577344074,0.4195048,0.56888395,0.478860742,0.51765469,0.45685255,0.597516837,0.542970904,0.521685883,0.550107989,0.685334666,0.563707076,0.660664591,0.47435804,0.644071215,0.429979953,0.539770927,0.500712037,0.544432406,0.488407033,0.470788797,0.553577476,0.59833012,0.403085467,0.565667105
411_DL,0.536249327,0.423837435,0.442229873,0.341208784,0.461594713,0.409785775,0.360847644,0.251365923,0.462242005,0,0.491601767,0.306447308,0.495544904,0.52508085,0.411174667,0.336014402,0.5802031,0.394774497,0.419225603,0.528243752,0.452261817,0.380265872,0.514266536,0.360368883,0.398481883,0.422114797,0.333278331,0.48248769,0.465236983,0.441143696,0.433426594,0.456405864,0.521971828,0.336818836,0.528263498,0.316226544,0.495327291,0.41193436,0.440593841,0.453067977,0.48546347,0.450414881,0.465171191,0.38321426,0.444626328,0.4149484,0.76277182,0.467644997,0.702806565,0.513350991,0.403803935,0.538282208,0.281610818,0.427488216,0.405334607,0.432464758,0.408796783,0.481817301,0.426905444,0.394385374,0.335832086,0.777096977,0.363528384,0.443641779,0.508772303,0.511767153,0.393720835,0.394064046,0.47699588,0.460033541,0.458557276,0.496124389,0.42954086,0.570598161,0.430272759,0.534012892,0.405962063,0.40807743,0.352721143,0.500250525,0.548559665,0.538084495,0.37554721,0.526974711,0.557400332,0.42980265,0.360217363,0.809840234,0.771433857,0.493697492,0.382661332,0.603984529,0.480661411,0.448935005,0.449862048,0.436576942,0.416825805,0.54163619,0.505111001,0.422078972,0.406290962,0.53309679,0.442570822,0.380880356,0.440304617,0.473046576,0.411034526,0.568842014,0.400124474,0.483528628,0.489437165,0.474878922,0.478383412,0.804400305,0.348008782,0.392322273,0.457340023,0.462076685,0.445303358,0.422719059,0.432019492,0.568150777,0.400437807,0.501363237,0.354821871,0.534223835,0.318655807,0.363285191,0.39815179,0.436871162,0.430907691,0.427428931,0.42126732,0.446373275,0.538197391,0.305867578,0.374915825,0.538095938,0.516184102,0.425443126,0.493235168,0.48747377,0.454682683,0.394357051,0.451277494,0.451908278,0.433851397,0.316638362,0.458697801,0.487254228,0.41642913,0.464534603,0.356736539
