"","X403_10","X405_10","X407_10","X408_10","X411_10","X412_10","X414_10","X420_10","X425_10","X427_10","X428_10","X431_10","X432_10","X433_10","X437_10","X438_10","X439_10","X444_10","X449_10","X450_10","X451_10","X452_10","X456_10","X459_10","X461_10","X463_10","X464_10","X465_10","X466_10","X471_10","X472_10","X475_10","X476_10","X478_10","X481_10","X482_10","X484_10","X485_10","X489_10","X495_10","X500_10","X505_10","X509_10","X510_10","X515_10","X517_10","X518_10","X519_10","X521_10","X522_10","X524_10","X528_10","X532_10","X534_10","X535_10","X536_10","X538_10","X541_10","X542_10","X547_10","X548_10","X549_10","X553_10","X555_10","X562_10","X564_10","X568_10","X571_10","X572_10","X573_10","X577_10","X578_10","X579_10","X580_10","X584_10","X590_10","X592_10"
"249956abc9a2b00cf369b0b5cc0ffecd",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220489abfe67f6c5468257fbfe8da245",33,40,27,22,0,0,0,10,22,0,27,0,20,31,29,25,16,60,60,157,112,15,47,52,40,30,0,42,22,64,0,33,50,27,50,26,34,38,26,133,88,0,0,37,49,126,35,32,34,58,29,27,30,22,41,44,84,36,31,48,63,36,48,132,25,67,85,52,38,27,39,21,40,47,76,8,17
"60de440009ba631a5d5a70441994ad33",140,69,59,67,49,36,98,37,33,8,78,82,47,54,148,103,66,113,79,203,28,42,76,353,256,116,156,157,89,136,45,41,199,80,93,55,79,103,72,98,281,53,20,108,140,203,86,56,64,42,45,107,53,63,111,49,119,70,36,196,123,68,103,118,41,226,151,84,110,110,110,68,211,216,125,68,52
"e920aec39d0ec8b823fb4b5b26a71b57",0,0,0,0,0,0,0,0,0,0,0,6,6,0,17,0,0,0,14,34,0,0,0,24,10,0,10,0,0,15,0,0,13,0,29,0,0,0,0,0,35,0,0,8,13,19,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,9,0,0,14,0,0,0,0,0,12,0,0,0,0
"378d2f759615631ec0dcb302a7203e86",11,0,0,0,0,0,7,0,0,0,2,0,2,3,26,0,0,0,4,0,3,0,0,0,0,0,0,8,0,0,3,0,11,10,0,0,0,5,12,0,33,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,6,0,12,0,0,0,6,4,0,7,0,0,0,0,0,0
"61ee083dd3bea539756859015c1c40e5",57,105,29,3,43,43,272,24,48,0,63,0,118,65,40,83,81,155,109,604,55,38,32,5,6,157,36,115,28,163,0,49,139,37,0,55,19,75,2,63,395,56,6,80,87,432,35,4,21,60,49,45,3,130,4,88,122,104,54,73,46,62,50,145,42,89,8,181,113,68,65,22,354,8,10,0,25
"8668df7469b7ab0b7823b11be8c21ad2",0,0,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,29,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,11,17,0,12,5,0,8,0,8,0,21,0,0,0,0,5,0,0,7,0,6,9,35,0,0,0,0,5,0,19,9,0,0
"a6bd10e64701aefb0e95e885e1e03dc7",8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,12,0,17,11,0,11,0,0,4,0,0,0,0,9,14,0,0,7,0,0,14,0,0,110,0,0,17,14,24,11,8,0,0,0,8,0,0,0,7,11,0,0,0,0,0,0,7,7,0,0,9,14,11,0,0,38,0,6,0,6
"3185182f9c09d77821269d8d6658609b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c937d884856f3be611fef6edb0283567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
