"","X403_10","X405_10","X407_10","X408_10","X411_10","X412_10","X414_10","X420_10","X425_10","X427_10","X428_10","X431_10","X432_10","X433_10","X437_10","X438_10","X439_10","X444_10","X449_10","X450_10","X451_10","X452_10","X456_10","X459_10","X461_10","X463_10","X464_10","X465_10","X466_10","X471_10","X472_10","X475_10","X476_10","X478_10","X481_10","X482_10","X484_10","X485_10","X489_10","X495_10","X500_10","X505_10","X509_10","X510_10","X515_10","X517_10","X518_10","X519_10","X521_10","X522_10","X524_10","X528_10","X532_10","X534_10","X535_10","X536_10","X538_10","X541_10","X542_10","X547_10","X548_10","X549_10","X553_10","X555_10","X562_10","X564_10","X568_10","X571_10","X572_10","X573_10","X577_10","X578_10","X579_10","X580_10","X584_10","X590_10","X592_10"
"A2",569,3506,2254,355,3501,2416,3624,2440,643,239,680,1952,1385,1298,2399,1939,2101,822,534,5680,2373,1061,3593,1072,454,1691,803,2879,179,2503,1436,797,798,1258,1558,4164,1188,1044,3634,1698,6475,322,389,2011,1394,2680,710,2618,586,643,861,1040,1401,1145,732,2304,2997,899,853,1032,881,271,349,2147,1596,832,691,2274,1426,665,584,1746,5097,424,2152,527,1891
"Acetatifactor",12,43,38,38,55,33,59,34,35,5,7,74,61,66,34,30,112,15,27,51,106,0,0,71,7,0,0,0,0,16,79,50,74,59,0,96,66,63,15,0,26,27,13,16,33,9,23,90,0,27,27,48,26,150,38,12,78,75,85,34,62,11,15,65,30,33,13,14,60,16,60,118,56,0,110,98,45
"Alistipes",218,166,94,148,289,99,274,250,276,20,450,678,102,324,222,573,328,150,122,626,634,0,284,266,67,966,396,15,68,230,99,873,473,251,660,526,537,416,8,173,221,279,58,317,149,535,182,227,54,395,451,145,192,92,347,52,356,8,190,263,332,64,196,295,142,444,515,153,494,238,275,232,722,40,930,104,285
"Alloprevotella",10,13,11,17,29,11,154,8,67,5,7,152,75,22,30,6,346,29,16,23,11,11,42,45,10,15,20,14,466,31,3,24,19,14,280,42,20,13,347,749,29,15,4,12,1028,421,1698,99,85,272,845,364,132,380,74,15,134,17,47,153,307,10,547,160,49,17,234,108,745,0,2516,56,16,95,1880,14,8
"Anaeroplasma",7,30,26,12,71,74,30,3,145,12,14,6,7,2,74,120,63,21,0,11,9,55,0,452,40,5,55,19,9,30,16,92,135,14,133,55,26,25,0,0,15,2,43,28,9,98,0,33,6,46,240,17,18,30,81,6,27,39,139,68,42,0,48,60,9,92,6,42,28,20,77,7,63,21,322,30,39
"Anaerotruncus",10,32,39,20,47,73,71,125,49,2,0,363,40,24,31,28,27,14,86,367,155,23,100,252,24,21,12,63,4,50,41,38,22,16,110,135,49,54,85,79,130,15,11,59,77,54,94,146,53,24,141,37,28,92,49,23,309,155,38,54,45,37,21,157,80,72,107,82,102,37,37,51,87,35,266,27,30
"Bacillus",0,8,0,0,0,6,6,0,7,0,0,0,0,8,0,9,10,0,8,15,0,6,0,11,0,0,0,6,0,7,0,13,0,0,13,12,7,0,5,0,13,4,0,0,10,12,0,0,0,0,0,0,0,0,4,0,8,0,0,3,0,0,0,10,0,0,0,5,0,0,0,0,5,0,9,0,8
"Bacteroidales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides",800,631,1069,1279,623,746,921,397,909,46,444,2031,809,1083,1581,1437,1670,534,4236,2648,1407,2040,2240,2025,2870,1872,2592,1301,2312,1013,880,4578,1895,1260,3951,1809,3383,885,1380,2428,1770,609,231,1483,5161,4793,1148,1285,390,2496,3373,1553,1247,2108,971,640,2314,3896,386,1168,1354,2617,1451,2281,467,2625,1399,1059,3984,746,2948,1514,1383,1458,9804,799,350
"Blautia",93,264,145,97,185,112,316,190,89,15,32,212,211,159,176,179,434,37,75,382,160,425,567,158,37,122,173,144,18,89,233,67,278,251,116,272,313,390,244,117,209,94,49,246,103,57,145,794,67,118,67,153,115,360,123,22,782,141,278,177,230,39,124,280,114,104,24,398,365,260,101,223,361,206,464,139,161
"Butyricicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0
"Candidatus_Arthromitus",9,11,5,26,11,11,10,11,0,0,0,31,20,13,15,0,0,17,41,16,29,0,6,24,24,26,64,16,14,14,9,37,9,0,7,39,0,10,6,17,30,4,5,0,36,24,30,16,0,19,24,0,11,6,6,0,14,19,9,22,31,25,27,15,0,26,13,8,13,20,7,18,7,4,97,8,8
"Candidatus_Saccharimonas",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,13,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Clostridia_UCG-014",0,8,0,0,0,0,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,4,55,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridia_vadinBB60_group",45,42,16,24,55,66,81,77,149,6,18,385,78,43,42,73,116,32,14,7,51,53,37,182,32,36,141,14,6,19,13,90,51,21,113,184,53,129,32,24,59,181,46,90,46,57,27,18,0,59,136,72,57,127,175,6,110,111,35,99,117,10,26,74,52,112,45,41,272,46,139,74,230,0,163,6,54
"Colidextribacter",50,162,115,75,171,208,319,179,93,14,29,361,175,125,209,173,161,66,75,451,318,131,144,224,71,162,77,156,10,170,146,133,195,136,327,436,206,240,215,46,238,83,57,281,108,85,130,147,27,92,148,140,111,234,89,38,259,261,116,155,132,45,57,255,138,127,83,247,278,139,123,172,308,79,274,118,89
"Eggerthellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacteriaceae",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,6,0,0,0,4,0,0,0,4,0,0,5,0,0,0,0,5,0,0,0,0,6,5,0,0,0,0,0,5,0,0,0
