#OTU ID,403_IC,403_IL,405_IC,405_IL,407_IC,407_IL,408_IC,408_IL,411_IC,411_IL,412_IC,412_IL,414_IC,414_IL,420_IC,420_IL,425_IC,425_IL,427_IC,427_IL,428_IC,428_IL,431_IC,431_IL,432_IC,432_IL,433_IC,433_IL,437_IC,437_IL,438_IC,438_IL,439_IC,439_IL,444_IC,444_IL,449_IC,449_IL,450_IC,450_IL,451_IC,451_IL,452_IC,452_IL,456_IC,456_IL,459_IC,459_IL,461_IC,461_IL,463_IC,463_IL,464_IC,464_IL,465_IC,465_IL,466_IC,466_IL,471_IC,471_IL,472_IC,472_IL,475_IC,475_IL,476_IC,476_IL,478_IC,478_IL,481_IC,481_IL,482_IC,482_IL,484_IC,484_IL,485_IC,485_IL,489_IC,489_IL,495_IC,495_IL,500_IC,500_IL,505_IC,505_IL,509_IC,509_IL,510_IC,510_IL,515_IC,515_IL,517_IC,517_IL,518_IC,518_IL,519_IC,519_IL,521_IC,521_IL,522_IC,522_IL,524_IC,524_IL,528_IC,528_IL,532_IC,532_IL,534_IC,534_IL,535_IC,535_IL,536_IC,536_IL,538_IC,538_IL,541_IC,541_IL,542_IC,542_IL,547_IC,547_IL,548_IC,548_IL,549_IC,549_IL,553_IC,553_IL,555_IC,555_IL,562_IC,562_IL,564_IC,564_IL,568_IC,568_IL,571_IC,571_IL,572_IC,572_IL,573_IC,573_IL,577_IC,577_IL,578_IC,578_IL,579_IC,579_IL,580_IC,580_IL,584_IC,584_IL,590_IC,590_IL,592_IC,592_IL
a6bd10e64701aefb0e95e885e1e03dc7,76,14,26,0,36,0,11,0,64,3,0,0,10,0,32,8,0,0,0,0,119,9,0,0,14,5,13,0,0,0,19,0,6,38,0,4,0,0,0,0,0,5,0,8,33,0,0,0,0,0,0,0,21,0,15,0,14,0,7,0,13,8,0,0,11,0,0,0,19,0,9,0,28,10,0,0,11,15,0,0,0,0,40,0,65,9,74,0,0,8,55,4,0,14,61,12,43,8,0,10,0,0,11,11,0,0,0,0,0,0,28,17,72,55,0,0,11,0,0,41,21,46,53,0,28,0,103,0,539,24,0,23,0,0,21,0,12,0,27,0,0,0,39,0,328,28,0,0,65,21,0,6,24,149
abf098f2d9f01785ee63ee68ae59fd2b,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,12,0,0,0,50,0,0,0,0,0,51,0,4,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
f68405f867979a28365e9aa03e6707ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5def5d3e4217af0c66de1e25dee190b4,149,668,130,1719,64,251,98,1742,203,55,21003,8350,4016,3778,147,407,190,245,62,169,7350,2510,164,690,269,884,169,98,247,145,156,230,376,787,32561,40537,22205,30190,282,298,99,179,170,208,77,414,188,249,256,120,25039,7450,50349,32661,4665,2990,213,163,136,148,100,169,97,212,523,283,14770,15131,3337,4062,552,667,13234,7729,77,37,159,236,21131,102,134,203,120,254,165,114,141,263,34019,65723,117,201,133,239,144,143,148,349,126,139,65,182,165,244,74,144,83,11939,183,209,99,169,235,277,40,258,127,282,35,145,124,181,135,155,162,119,189,177,1616,320,66,101,49,182,93,198,109,167,234,170,23,111,150,192,11449,3247,8059,4014,71,114,117,179,164,196
71ee056f6f568aaa648b0b008338a85b,530,360,241,224,5137,1378,274,197,300,30,136,0,451,500,212,39,13,43,21,100,2462,413,31,89,355,136,109,0,130,32,133,158,527,486,1305,2220,253,444,0,98,131,127,690,1534,165,91,0,18,0,14,0,43,1225,1162,30,977,911,583,122,110,283,619,0,0,134,1148,16,241,146,108,327,329,76,1099,0,0,579,2933,21,78,0,81,1162,102,1157,649,189,143,0,0,153,244,194,979,150,68,771,191,478,774,0,19,63,249,0,69,270,306,270,171,433,491,498,957,0,0,603,813,93,866,468,270,92,44,841,935,306,0,983,509,83,89,148,142,811,535,357,477,398,328,478,81,355,158,415,93,1324,1115,207,171,0,876,562,1441
36beb8c0b9de18e40125d64e5c172d53,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9932ab474f1ddea0ae8865b176ed2c0f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,63,5,0,0,4,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,7,64,57,149,0,0,0,0,0,0,0,0,0,0,0,6,0,0,14,75,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9d16b765dc09bf7d95bbce233756ab5f,0,9,0,0,0,18,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,4,0,26,0,0,0,0,0,0,0,0,0,48,0,21,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,82,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,40,0,0,0,12,0,4,0,0
5d5f4a69deb37f1398a271f1218133e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,74,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13,47,36,33,0,0,0,0,0,11,0,0,0,0,0,27,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,52,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,51,18,34,0,0,0,0,0,0,0,0,10,0,0,0,0,0
c5481c14c182a43d18603a2c117d9bb0,0,18,0,0,0,0,54,251,0,0,0,10,0,0,0,0,0,0,303,3476,0,0,93,236,0,0,0,20,9,537,0,0,18,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,10,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,55,205,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,10,0,75,0,0,0,0,27,177,0
