,Shannon,Faith_PD,Obs_SVs,Pielou
403_IC,3.803671931,4.978943006,62,0.638822056
403_IL,3.127710129,5.982248424,74,0.503701364
405_IC,2.35112977,4.280268164,48,0.420975032
405_IL,1.261863399,4.474705729,48,0.225939458
407_IC,3.967546276,3.922949219,46,0.718294881
407_IL,3.644573458,4.51974734,52,0.639349531
408_IC,1.995086164,4.689309067,48,0.35722463
408_IL,1.389977519,4.532343606,52,0.243836895
411_IC,2.365459568,4.870686343,60,0.400457657
411_IL,2.697380614,4.026894244,34,0.530201536
412_IC,1.916404214,3.418046254,38,0.36517353
412_IL,2.310462041,3.946985938,41,0.431253311
414_IC,3.247423631,4.184801465,50,0.575390925
414_IL,4.986854411,6.638392435,99,0.752238067
420_IC,3.410097523,4.979763862,74,0.549178377
420_IL,5.003822223,7.660915632,135,0.707072575
425_IC,1.619413006,3.910765914,35,0.315719176
425_IL,2.791592607,4.552939765,42,0.517698123
427_IC,4.041725649,7.066606219,96,0.613781118
427_IL,4.736881712,7.470806517,124,0.681154443
428_IC,3.500520764,3.871238943,54,0.608269191
428_IL,4.095831243,4.620746147,53,0.715064267
431_IC,1.659377237,5.133142251,55,0.287021967
431_IL,2.314448451,5.398802914,58,0.395093199
432_IC,2.035926561,4.243574175,43,0.37519853
432_IL,4.507784963,6.617132578,118,0.654949695
433_IC,1.813309743,4.223523048,38,0.345528733
433_IL,2.988175976,5.036498018,56,0.514550259
437_IC,1.601299898,4.171875905,50,0.283724433
437_IL,3.828657061,5.826338713,73,0.618540481
438_IC,1.87738308,3.956847563,41,0.350418079
438_IL,2.844319973,4.974155187,59,0.483510549
439_IC,2.708686493,5.050983675,71,0.440454939
439_IL,2.255098399,4.787251699,56,0.388317647
444_IC,2.449603265,4.041576613,43,0.451434527
444_IL,2.782739158,5.040132551,57,0.477077255
449_IC,1.150136076,3.695416178,35,0.224229404
449_IL,1.784893584,4.541395992,46,0.323141769
450_IC,1.374638305,3.990363887,40,0.258297046
450_IL,4.919035825,6.938157003,118,0.714701575
451_IC,5.42089207,6.789731034,118,0.787617785
451_IL,5.566188812,7.062609612,140,0.780750154
452_IC,5.49568112,6.187519713,114,0.804298197
452_IL,3.566805537,5.245203771,68,0.585926457
456_IC,3.317257054,4.965166239,66,0.548815479
