,403_IC,403_IL,405_IC,405_IL,407_IC,407_IL,408_IC,408_IL,411_IC,411_IL,412_IC,412_IL,414_IC,414_IL,420_IC,420_IL,425_IC,425_IL,427_IC,427_IL,428_IC,428_IL,431_IC,431_IL,432_IC,432_IL,433_IC,433_IL,437_IC,437_IL,438_IC,438_IL,439_IC,439_IL,444_IC,444_IL,449_IC,449_IL,450_IC,450_IL,451_IC,451_IL,452_IC,452_IL,456_IC,456_IL,459_IC,459_IL,461_IC,461_IL,463_IC,463_IL,464_IC,464_IL,465_IC,465_IL,466_IC,466_IL,471_IC,471_IL,472_IC,472_IL,475_IC,475_IL,476_IC,476_IL,478_IC,478_IL,481_IC,481_IL,482_IC,482_IL,484_IC,484_IL,485_IC,485_IL,489_IC,489_IL,495_IC,495_IL,500_IC,500_IL,505_IC,505_IL,509_IC,509_IL,510_IC,510_IL,515_IC,515_IL,517_IC,517_IL,518_IC,518_IL,519_IC,519_IL,521_IC,521_IL,522_IC,522_IL,524_IC,524_IL,528_IC,528_IL,532_IC,532_IL,534_IC,534_IL,535_IC,535_IL,536_IC,536_IL,538_IC,538_IL,541_IC,541_IL,542_IC,542_IL,547_IC,547_IL,548_IC,548_IL,549_IC,549_IL,553_IC,553_IL,555_IC,555_IL,562_IC,562_IL,564_IC,564_IL,568_IC,568_IL,571_IC,571_IL,572_IC,572_IL,573_IC,573_IL,577_IC,577_IL,578_IC,578_IL,579_IC,579_IL,580_IC,580_IL,584_IC,584_IL,590_IC,590_IL,592_IC,592_IL
Eggerthellaceae,3101,759,2996,323,961,314,115,162,1193,31,408,53,797,198,1900,294,47,123,37,82,2019,122,201,168,1564,225,355,32,1134,156,1930,402,2072,2126,1816,1367,197,131,64,203,85,111,591,1292,1216,120,39,66,55,26,278,68,2392,359,2705,1062,1853,426,2263,47,616,132,10,61,644,550,253,117,444,74,564,70,801,94,36,25,3137,1958,321,44,28,112,1255,89,2686,291,1929,130,44,122,2795,364,62,714,1469,107,2778,380,172,173,38,66,869,382,28,45,631,176,335,166,1412,784,3146,1029,17,57,1610,692,268,657,1348,580,1069,59,1580,98,5429,792,7868,651,117,240,269,241,1855,103,230,276,1004,165,321,56,433,133,6623,210,2179,47,1214,155,37,218,325,1274
Oscillospiraceae,27,71,10,13,4,3,17,50,160,0,7,3,5,368,25,1771,37,3,258,1114,22,41,45,63,20,1319,21,15,18,325,8,21,73,34,43,102,0,0,75,1549,1269,2361,2066,98,28,56,3,0,0,53,0,7,48,74,82,34,75,1058,12,2,5,30,0,0,17,708,0,163,15,34,33,51,23,21,0,0,42,51,7,0,0,523,29,38,18,30,13,26,3,3,13,20,0,1180,24,206,30,168,1629,51,0,3,7,328,31,162,4,3184,19,37,5,37,13,24,0,5,20,413,0,28,13,34,43,198,0,4,47,0,164,158,0,691,3,52,3,3,639,1370,5,54,3,0,5,9,71,105,21,0,16,3,4,7,3437,35
Lachnospiraceae,12198,13499,961,907,487,477,704,3148,2024,89,1125,540,1086,12341,4690,42349,1916,139,4836,22423,1210,724,5122,3954,840,28680,455,5190,1994,5220,679,830,2930,1694,1629,1751,269,926,3743,27784,17501,25867,31053,2573,4435,964,162,262,267,1298,311,1795,2343,1299,4965,4222,3362,25958,562,321,523,531,123,239,1757,21498,466,10027,2614,3103,2294,2522,2137,2228,135,56,1977,4394,370,322,125,9687,1424,999,1355,492,347,880,111,218,769,814,1131,18968,805,5623,2287,10729,16595,1366,186,213,697,6913,1260,3492,327,21074,821,1122,190,484,1464,992,22,238,2016,7634,116,373,860,1460,4174,7017,472,955,4632,1104,3848,2900,162,8241,323,1764,350,238,7484,14487,753,1245,221,66,540,398,5841,2909,1481,342,1692,496,66,262,34517,2026
Lactobacillaceae,10941,5834,25928,6614,1311,7362,3310,3277,38554,1433,41611,12055,17040,7603,20142,3418,41926,1423,2809,2293,22769,5297,2759,3259,53581,10498,11746,1029,52268,8257,30634,14368,35149,49372,50421,54451,23091,31614,63131,11907,1571,1995,5205,13295,13609,2315,41901,24226,62056,13651,29287,8254,55693,35883,31609,10701,39576,6600,28159,1838,23524,21136,16037,17164,17256,32629,19925,18384,14366,9699,28661,12497,30497,14907,1053,560,29128,35103,21921,1492,30820,17759,19035,2936,28411,5229,29026,4888,35651,68096,23018,14537,15054,25979,28889,6066,25021,32566,5126,5650,6793,1057,39099,39515,873,1011,7518,14040,28584,7510,17358,23604,45028,55642,10062,28832,19632,42247,4389,19349,21958,14592,28216,3095,31459,6689,35639,31479,93764,32615,12490,4095,6899,5286,13262,2446,3274,1726,42071,9751,2392,1213,25266,4224,30483,7071,50621,11785,4557,2229,1258,25156,3013,17981
Muribaculaceae,3449,6061,2622,2224,18878,11637,2154,1211,3769,274,1130,1645,5350,5198,4287,2196,170,333,547,1605,12921,5275,382,1000,4931,3790,1127,411,2088,853,2413,4074,7993,5447,6806,14527,2025,3897,228,2029,3934,4274,12024,16366,1540,531,126,143,206,142,167,643,14641,12383,788,18295,5922,6259,1813,1853,2883,7498,78,115,2422,14334,139,3547,3234,5081,8397,11943,3447,10723,169,41,3485,21787,123,514,70,407,10132,992,13657,7637,1641,829,110,201,2582,7452,1507,18141,2501,1303,11218,7206,5850,7585,232,264,1137,8773,158,314,1353,6689,4109,2348,5410,11517,9400,24956,26,215,6954,16151,766,15483,6622,6173,1644,1395,7296,11928,5971,5614,20947,7227,1596,1526,1820,2823,8183,6799,4174,6758,6370,2893,2578,563,4498,1750,7496,4777,10596,10195,3314,3565,241,7075,8057,17094
Alcaligenaceae,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermicanaceae,0,9,0,0,0,18,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,4,0,26,0,0,0,0,0,0,0,0,0,48,0,21,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,82,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,40,0,0,0,12,0,4,0,0
Ruminococcaceae,51,42,48,38,12,55,7,49,71,18,92,37,18,230,146,2333,44,0,140,650,22,19,221,187,27,646,9,43,169,200,20,72,58,35,76,94,5,19,113,1048,749,1364,1134,116,149,68,6,4,6,0,0,16,92,30,249,185,90,663,6,4,8,31,0,10,33,777,9,157,250,227,113,63,82,126,0,3,17,25,7,6,5,289,29,27,32,34,6,25,0,0,35,88,21,707,20,211,160,179,576,61,0,6,13,94,20,64,0,1133,12,46,2,4,6,10,0,10,37,233,0,11,43,66,85,281,5,23,102,71,84,187,3,224,6,68,14,13,316,489,21,36,0,0,7,8,44,122,79,15,39,7,0,11,1061,95
Aerococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridiaceae,2598,31857,3537,53402,46,8978,16654,41105,1332,1159,568,11073,217,2047,2938,4644,5990,1767,5864,5922,272,68,35746,21971,7715,24591,18588,10142,455,2094,291,858,219,1882,487,28183,528,32691,554,800,1286,5836,355,22726,852,8220,2022,31409,806,9665,4682,23988,628,12568,7472,61175,433,9448,8866,35375,311,5441,9926,57960,166,3336,99,176,159,186,1474,25602,895,1605,23263,13680,184,281,215,21446,4242,31534,1356,80659,1687,24110,3004,61116,1004,8909,2458,25237,14665,3305,3993,20221,216,326,204,17722,12378,53538,291,2277,14107,4813,14452,10615,3353,19327,267,1679,434,1091,1140,28338,301,1865,117,1612,692,15367,970,17330,7595,15106,1480,1438,2170,3270,2083,18505,1822,39648,1393,48916,10934,26707,1482,13281,830,431,6119,23851,1772,4440,1153,11876,3162,37303,68,5915,316,2015
