Genus,403_IC,403_IL,405_IC,405_IL,407_IC,407_IL,408_IC,408_IL,411_IC,411_IL,412_IC,412_IL,414_IC,414_IL,420_IC,420_IL,425_IC,425_IL,427_IC,427_IL,428_IC,428_IL,431_IC,431_IL,432_IC,432_IL,433_IC,433_IL,437_IC,437_IL,438_IC,438_IL,439_IC,439_IL,444_IC,444_IL,449_IC,449_IL,450_IC,450_IL,451_IC,451_IL,452_IC,452_IL,456_IC,456_IL,459_IC,459_IL,461_IC,461_IL,463_IC,463_IL,464_IC,464_IL,465_IC,465_IL,466_IC,466_IL,471_IC,471_IL,472_IC,472_IL,475_IC,475_IL,476_IC,476_IL,478_IC,478_IL,481_IC,481_IL,482_IC,482_IL,484_IC,484_IL,485_IC,485_IL,489_IC,489_IL,495_IC,495_IL,500_IC,500_IL,505_IC,505_IL,509_IC,509_IL,510_IC,510_IL,515_IC,515_IL,517_IC,517_IL,518_IC,518_IL,519_IC,519_IL,521_IC,521_IL,522_IC,522_IL,524_IC,524_IL,528_IC,528_IL,532_IC,532_IL,534_IC,534_IL,535_IC,535_IL,536_IC,536_IL,538_IC,538_IL,541_IC,541_IL,542_IC,542_IL,547_IC,547_IL,548_IC,548_IL,549_IC,549_IL,553_IC,553_IL,555_IC,555_IL,562_IC,562_IL,564_IC,564_IL,568_IC,568_IL,571_IC,571_IL,572_IC,572_IL,573_IC,573_IL,577_IC,577_IL,578_IC,578_IL,579_IC,579_IL,580_IC,580_IL,584_IC,584_IL,590_IC,590_IL,592_IC,592_IL
A2,1221,971,204,181,44,144,74,389,326,0,310,154,278,1726,1824,4252,220,22,400,1814,340,139,240,178,155,2567,96,352,520,606,173,213,1354,622,569,313,50,142,364,2607,1345,2531,5710,424,2062,324,39,52,64,204,29,83,884,458,1166,1533,552,3354,58,52,81,74,30,41,407,3800,163,677,1151,1326,708,711,274,763,9,12,694,956,42,24,17,1167,201,168,356,104,141,121,24,21,239,278,445,2131,94,699,820,795,2244,291,21,43,115,586,224,363,37,3558,80,135,23,118,636,219,6,48,390,914,26,44,319,226,732,1026,89,144,1242,75,807,378,26,988,15,214,102,33,903,2019,92,130,13,12,68,39,1005,558,91,97,305,71,8,42,4071,657
Acetatifactor,7,0,0,0,0,0,0,14,0,0,0,0,0,13,0,100,0,0,24,91,0,15,0,0,0,173,0,9,0,0,0,0,13,0,0,10,0,19,0,50,67,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,92,0,0,0,0,0,0,0,112,0,18,0,0,0,0,0,18,0,0,0,16,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,112,8,0,0,0,22,0,0,0,38,0,30,0,0,9,0,0,0,0,46,0,0,0,0,6,7,0,0,0,0,9,13,0,47,0,0,0,0,53,93,0,0,0,0,0,0,7,0,0,0,0,0,0,0,312,0
Acinetobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes,16,100,0,5,0,0,0,18,3,0,0,0,0,102,0,682,7,0,33,422,5,4,11,39,7,403,0,33,0,0,0,0,0,9,3,21,0,31,10,563,594,1022,3,26,4,0,0,6,0,0,0,5,5,27,0,0,8,225,0,2,3,0,0,0,10,109,0,75,0,0,4,59,0,0,4,0,0,0,0,0,0,180,3,25,0,0,0,10,0,0,0,0,0,121,0,103,2,52,300,8,3,0,3,46,2,85,0,476,7,17,5,0,2,5,0,0,0,30,0,0,3,0,0,128,0,0,0,0,15,29,4,76,0,20,2,7,102,310,4,4,0,0,0,0,0,30,5,0,0,0,0,0,756,0
Alloprevotella,0,4,0,10,0,0,0,0,0,0,0,3,0,100,0,0,0,0,26,110,3,0,0,30,0,8,0,0,0,0,0,0,3,3,0,35,0,0,0,5,0,0,2,3,0,8,0,0,0,0,0,0,0,0,0,0,24,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,2,0,47,0,4,0,0,0,16,0,0,0,0,10,7,0,50,0,30,413,0,0,0,0,36,23,0,0,1014,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,554,998,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
Anaeroplasma,0,22,0,10,12,7,0,0,0,0,0,0,0,197,0,0,0,0,17,197,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,4,0,0,0,19,0,0,21,0,0,0,0,0,0,87,0,0,0,8,0,0,6,585,0,0,0,0,0,2,0,118,0,42,0,0,0,4,0,0,0,0,0,0,0,0,0,39,0,6,0,0,0,0,0,0,0,0,0,0,0,51,0,0,39,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,17,0,21,0,0,2,0,0,5,0,24,0,0,0,0,28,58,0,0,0,0,0,0,0,15,0,0,0,0,0,0,430,0
Anaerotruncus,0,18,0,5,0,0,0,42,10,0,3,0,7,24,11,1401,32,0,60,335,0,3,200,151,5,83,4,10,0,9,0,0,0,5,0,13,0,0,68,331,242,252,97,11,0,0,0,0,0,0,0,4,0,0,5,0,23,205,0,0,0,3,0,0,3,240,0,54,5,6,3,0,0,0,0,0,5,0,0,0,0,80,12,5,0,0,0,12,0,0,4,0,17,203,8,113,0,51,92,0,0,0,6,46,0,12,0,304,0,10,0,0,0,4,0,0,12,99,0,0,0,24,69,134,0,5,11,0,14,64,3,18,0,33,0,0,55,154,4,4,0,0,0,0,8,32,53,15,10,0,0,0,88,5
Bacillaceae,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Bacillus,17,163,19,90,6,34,17,45,20,12,35,17,0,20,17,21,28,10,12,32,15,0,24,24,28,31,27,56,40,34,15,85,15,161,31,39,0,41,27,23,12,24,19,246,12,19,33,36,36,18,0,24,37,26,347,34,24,35,24,53,23,33,20,33,9,42,17,11,19,0,22,23,18,15,15,5,19,31,14,11,0,25,0,50,18,21,0,56,24,48,13,33,15,48,16,26,23,40,16,19,0,22,18,66,15,39,7,31,30,26,8,35,27,34,4,42,13,53,4,15,16,31,28,28,128,28,25,33,261,44,0,25,5,203,12,44,0,18,29,149,5,28,19,189,19,13,39,24,7,26,29,38,22,39
