,403_IC,403_IL,405_IC,405_IL,407_IC,407_IL,408_IC,408_IL,411_IC,411_IL,412_IC,412_IL,414_IC,414_IL,420_IC,420_IL,425_IC,425_IL,427_IC,427_IL,428_IC,428_IL,431_IC,431_IL,432_IC,432_IL,433_IC,433_IL,437_IC,437_IL,438_IC,438_IL,439_IC,439_IL,444_IC,444_IL,449_IC,449_IL,450_IC,450_IL,451_IC,451_IL,452_IC,452_IL,456_IC,456_IL,459_IC,459_IL,461_IC,461_IL,463_IC,463_IL,464_IC,464_IL,465_IC,465_IL,466_IC,466_IL,471_IC,471_IL,472_IC,472_IL,475_IC,475_IL,476_IC,476_IL,478_IC,478_IL,481_IC,481_IL,482_IC,482_IL,484_IC,484_IL,485_IC,485_IL,489_IC,489_IL,495_IC,495_IL,500_IC,500_IL,505_IC,505_IL,509_IC,509_IL,510_IC,510_IL,515_IC,515_IL,517_IC,517_IL,518_IC,518_IL,519_IC,519_IL,521_IC,521_IL,522_IC,522_IL,524_IC,524_IL,528_IC,528_IL,532_IC,532_IL,534_IC,534_IL,535_IC,535_IL,536_IC,536_IL,538_IC,538_IL,541_IC,541_IL,542_IC,542_IL,547_IC,547_IL,548_IC,548_IL,549_IC,549_IL,553_IC,553_IL,555_IC,555_IL,562_IC,562_IL,564_IC,564_IL,568_IC,568_IL,571_IC,571_IL,572_IC,572_IL,573_IC,573_IL,577_IC,577_IL,578_IC,578_IL,579_IC,579_IL,580_IC,580_IL,584_IC,584_IL,590_IC,590_IL,592_IC,592_IL
403_IC,0,0.259548189,0.304328899,0.228018951,0.345535383,0.261678377,0.298169792,0.290369371,0.275435633,0.373232594,0.381195425,0.303161531,0.289925133,0.371481911,0.266285608,0.430160528,0.378741639,0.229941521,0.353173431,0.388517063,0.296242502,0.21303378,0.275588614,0.284636958,0.223693013,0.320410109,0.336180578,0.441667824,0.242076397,0.27583492,0.303155409,0.308964607,0.185788354,0.323506734,0.279820648,0.237377707,0.302657027,0.280585397,0.380781857,0.364150869,0.330501183,0.359280515,0.388306343,0.258772594,0.267695049,0.221413743,0.383432803,0.388986355,0.331706015,0.39763496,0.36819916,0.34103811,0.264984407,0.273988551,0.291476357,0.269553251,0.193557981,0.392395874,0.373417871,0.441939943,0.335623769,0.255280477,0.497428681,0.471244195,0.202027375,0.327072447,0.318011875,0.296609884,0.282709033,0.283672325,0.355470383,0.284946042,0.272298433,0.27962375,0.370271783,0.452574794,0.263019156,0.309218936,0.293788723,0.342366128,0.511927058,0.433939652,0.301188711,0.384429799,0.316654104,0.234246077,0.31130606,0.338263572,0.409377612,0.517616156,0.283289876,0.318648945,0.297914928,0.408749592,0.277229421,0.355423139,0.348202093,0.308047992,0.358575948,0.271687468,0.447046338,0.390817225,0.328450512,0.366144186,0.291003879,0.327839779,0.341832308,0.379435794,0.247173643,0.22416261,0.338853774,0.293395687,0.223373565,0.301994468,0.552389165,0.349310562,0.27456919,0.313506614,0.327586329,0.38172329,0.278724204,0.304741924,0.277428646,0.404291663,0.276428788,0.227308357,0.205539673,0.283158786,0.247447574,0.284180186,0.281712422,0.339705938,0.336732737,0.266841838,0.241124637,0.303591904,0.369847801,0.350716114,0.31455205,0.305344361,0.302573483,0.307621193,0.310500886,0.367141394,0.333118319,0.335101409,0.289774415,0.322949153,0.301436129,0.34817601,0.293807772,0.345168424,0.389139167,0.264367314
403_IL,0.259548189,0,0.406116008,0.283050078,0.456129898,0.304089626,0.295312626,0.344142522,0.288142597,0.386259761,0.45221305,0.378111155,0.349028985,0.373130654,0.330474754,0.38091351,0.378898915,0.250593623,0.316972219,0.340610673,0.421742829,0.324954806,0.277032031,0.276662148,0.31643096,0.29595548,0.338038433,0.316210991,0.333763187,0.25515028,0.371230448,0.343589236,0.284866975,0.298475817,0.378797398,0.329748763,0.390630638,0.344315012,0.363006217,0.298983138,0.296486852,0.334000716,0.428765938,0.253306297,0.338862794,0.236417088,0.473419689,0.473114687,0.431527988,0.417192652,0.451078964,0.35842347,0.352171163,0.381811151,0.267699598,0.327509636,0.272501472,0.369657828,0.415510147,0.395768583,0.44182191,0.27867082,0.519162367,0.53939368,0.284162214,0.281128566,0.396193263,0.297156681,0.370773145,0.307527254,0.391188846,0.333719234,0.314724768,0.315228016,0.433255191,0.518968415,0.354199322,0.350314346,0.379046074,0.364788225,0.582527208,0.395942849,0.363670443,0.371235853,0.378657214,0.259848595,0.384712796,0.363992745,0.496488726,0.514841662,0.366630289,0.354080785,0.34050178,0.368723162,0.319050726,0.291511262,0.400500002,0.230350329,0.331230945,0.31879119,0.40353517,0.450510796,0.407387373,0.276881987,0.315868057,0.23779855,0.449248504,0.316790642,0.301998484,0.299935757,0.409526188,0.319428944,0.293897131,0.371387706,0.589578755,0.421964647,0.313301133,0.284024888,0.430494202,0.438606743,0.404763477,0.274312038,0.315223335,0.360258202,0.346221967,0.301195818,0.3113206,0.286814154,0.205222078,0.251974189,0.364274504,0.282736805,0.380815871,0.19794052,0.357901718,0.373292763,0.304128317,0.318743866,0.381631536,0.275875932,0.338755033,0.357860669,0.400970839,0.338143063,0.357649855,0.285839213,0.350800391,0.332556476,0.375635798,0.403134134,0.312566247,0.318116339,0.366248477,0.327769639
405_IC,0.304328899,0.406116008,0,0.353016187,0.339417318,0.36941087,0.344730896,0.382055125,0.327801996,0.316023878,0.36489765,0.325057285,0.438493613,0.448980173,0.377606673,0.531532651,0.411800375,0.360330482,0.464441808,0.48383083,0.323043978,0.35477704,0.340889123,0.422006241,0.345479715,0.481280819,0.362500174,0.515172733,0.295151676,0.433746053,0.364338399,0.385653036,0.33577243,0.415350309,0.290091177,0.410840347,0.370080849,0.38991314,0.34865326,0.488072254,0.476867283,0.496254099,0.518236602,0.40884797,0.399758083,0.358190694,0.465004251,0.472567574,0.452293212,0.487736285,0.453313931,0.419552709,0.353617194,0.349085935,0.348987571,0.338497755,0.373484715,0.486950195,0.334770762,0.46875792,0.348414751,0.382294491,0.507296717,0.551876305,0.33827299,0.424293041,0.380864301,0.408895143,0.272231005,0.409574647,0.282857058,0.367457102,0.31542145,0.363612206,0.465792221,0.498413798,0.38096137,0.320096167,0.388155584,0.440388092,0.569101487,0.558342814,0.336501044,0.457608281,0.326259634,0.353140957,0.387489153,0.405878494,0.450317338,0.530424069,0.219667502,0.258538826,0.389930636,0.504271486,0.378979307,0.472168015,0.412990924,0.460848096,0.497210002,0.333055526,0.401218247,0.430151409,0.349696442,0.490603941,0.437156767,0.423204464,0.3223787,0.477099229,0.383720257,0.343634861,0.394553104,0.370371259,0.328747408,0.348006357,0.53564656,0.430050734,0.287696662,0.444995913,0.417009327,0.4301401,0.335443457,0.366520479,0.405310687,0.524749651,0.369176209,0.377217514,0.349278351,0.336857299,0.311979112,0.428298007,0.352120634,0.478307129,0.273705739,0.396004038,0.369723477,0.408588137,0.469093462,0.472193781,0.398484194,0.36786412,0.343651604,0.42392169,0.265603199,0.39823682,0.412793754,0.473025723,0.438809082,0.390718926,0.27452112,0.201218905,0.384088458,0.442976442,0.517587512,0.346642916
405_IL,0.228018951,0.283050078,0.353016187,0,0.361422076,0.227336906,0.220991404,0.276954763,0.225314282,0.263888545,0.317289883,0.254781479,0.282103937,0.420030451,0.249219722,0.455255387,0.301712829,0.159980114,0.412867154,0.455432998,0.336144485,0.211921898,0.275800383,0.287015467,0.206695972,0.371892514,0.281883998,0.355677863,0.265244268,0.298426229,0.233413293,0.279410089,0.210645306,0.269491942,0.238274057,0.260962809,0.20933575,0.201695157,0.302982137,0.389180677,0.385164986,0.40744118,0.450819013,0.23445685,0.310393726,0.187978199,0.303768318,0.359866558,0.290534964,0.396432052,0.332127345,0.237988555,0.275419443,0.240993884,0.292860015,0.213787478,0.202050506,0.451147861,0.327345711,0.350003708,0.310451611,0.205087821,0.422660971,0.412326662,0.254485453,0.416855414,0.236534943,0.347332998,0.265825495,0.269800418,0.356193865,0.294733179,0.299563567,0.248826041,0.287402375,0.369137143,0.239268467,0.232843342,0.189657096,0.256150843,0.438587859,0.481959072,0.338899425,0.328549807,0.304305888,0.132353488,0.279634751,0.3431517,0.352706686,0.448470868,0.29155268,0.241696572,0.21408734,0.45747838,0.293571812,0.374067038,0.357190184,0.33302273,0.421184715,0.221889135,0.38177271,0.302999785,0.292139394,0.34885421,0.333746599,0.346614987,0.357307364,0.38815267,0.234640966,0.206180854,0.310464726,0.23826067,0.255169513,0.20542415,0.523430687,0.276436155,0.260096847,0.351066349,0.272947724,0.305283436,0.31014806,0.247346766,0.375901946,0.426074653,0.16467942,0.185107869,0.272581695,0.204537698,0.261316159,0.235501175,0.217736015,0.344527213,0.304700296,0.234692084,0.18024942,0.204940116,0.438998041,0.396496157,0.231367665,0.189305633,0.208538175,0.203605762,0.239748955,0.284100944,0.296274972,0.358512749,0.313015883,0.200928592,0.314129362,0.329666298,0.221215226,0.224457727,0.454382956,0.20302358
407_IC,0.345535383,0.456129898,0.339417318,0.361422076,0,0.308447512,0.402340384,0.416510271,0.432578591,0.350275852,0.263003436,0.320583145,0.292602542,0.500436008,0.396302109,0.577694345,0.467117517,0.3726482,0.495682068,0.534204593,0.190695427,0.380497303,0.46567691,0.467899269,0.35524895,0.525320483,0.38572182,0.514625846,0.268103356,0.397970647,0.38547097,0.384451858,0.366515165,0.395275538,0.360184026,0.409282197,0.339263458,0.374207362,0.399596716,0.490436759,0.508249612,0.547935201,0.472949012,0.397198846,0.36643115,0.411031094,0.422517703,0.337235655,0.451558039,0.421799476,0.367588506,0.39869972,0.377070035,0.35614425,0.447423902,0.325638569,0.349725615,0.517980596,0.339772022,0.416437771,0.180929426,0.320359745,0.543241248,0.435474785,0.330394555,0.4694775,0.32365244,0.405203708,0.287450843,0.421335431,0.358476074,0.328149644,0.348686776,0.367213344,0.437348946,0.502784595,0.362296024,0.310141234,0.416574219,0.409738898,0.484569201,0.493849153,0.272544294,0.49398281,0.32312152,0.355359756,0.343376687,0.389133761,0.455739043,0.476073301,0.327635595,0.308624481,0.364016659,0.484238143,0.409335243,0.454287131,0.324132402,0.5085512,0.535230209,0.332597221,0.394930898,0.390733994,0.290416267,0.515447253,0.47585476,0.518297082,0.318143225,0.542211185,0.288562137,0.3490956,0.274940758,0.409262803,0.333530688,0.321085119,0.544299867,0.382178394,0.288341655,0.478156768,0.262373314,0.37857424,0.242456275,0.401193587,0.408559441,0.511363747,0.339576406,0.314615459,0.35020126,0.358367251,0.360922681,0.435615449,0.31239491,0.509644776,0.267834124,0.426906002,0.33365676,0.338725779,0.483337907,0.525358906,0.26509879,0.381652298,0.356406872,0.379102245,0.226830437,0.43383634,0.331467633,0.480337826,0.353614165,0.338031232,0.336153054,0.276328755,0.406241946,0.391573785,0.522859834,0.370728528
407_IL,0.261678377,0.304089626,0.36941087,0.227336906,0.308447512,0,0.295232386,0.318457332,0.338875322,0.244267872,0.344283146,0.298054444,0.317000401,0.504313019,0.305933201,0.512562279,0.373798534,0.238990707,0.476427178,0.510738444,0.313432493,0.300170824,0.357445217,0.378420532,0.266215743,0.455189386,0.281642972,0.335990864,0.243850754,0.362792359,0.27372973,0.334629511,0.281610459,0.30197216,0.364430719,0.329374032,0.208683331,0.258589282,0.375594511,0.463231682,0.441859803,0.478520244,0.532578526,0.295122435,0.353835879,0.246725286,0.298646585,0.315908681,0.315061971,0.342040208,0.340369871,0.277855544,0.302139346,0.269046566,0.336798526,0.293783084,0.252595502,0.50490434,0.327258289,0.365060765,0.274180396,0.16858231,0.419998845,0.415918109,0.251541016,0.464847872,0.298491552,0.423934211,0.315634963,0.277491421,0.340806892,0.306118589,0.281400187,0.251677806,0.347930332,0.34024544,0.282975937,0.30859696,0.290212429,0.222025648,0.4412697,0.52746218,0.351725831,0.393627404,0.326174276,0.243949597,0.323812228,0.367681886,0.337556762,0.396105356,0.322901223,0.300619084,0.243290674,0.517284511,0.325001453,0.437147239,0.406123695,0.384011566,0.485562267,0.242292393,0.393079127,0.342750171,0.342255289,0.425207192,0.391566377,0.41626719,0.302153145,0.459303833,0.211997899,0.244168625,0.275316661,0.305758649,0.248675931,0.24043076,0.520159627,0.235855554,0.301749206,0.398510722,0.257511828,0.353095743,0.350492785,0.290336259,0.415093114,0.477047758,0.239026427,0.215227494,0.25659001,0.241824921,0.26872832,0.319086388,0.20618928,0.420663563,0.254703392,0.310528005,0.224391474,0.217186689,0.503801214,0.458873918,0.271618064,0.220588112,0.246389744,0.241421283,0.205293237,0.299018157,0.320147227,0.388903718,0.361826171,0.220121127,0.331519426,0.325632138,0.254369445,0.252476949,0.512925498,0.268734141
408_IC,0.298169792,0.295312626,0.344730896,0.220991404,0.402340384,0.295232386,0,0.269215245,0.230237337,0.310787525,0.403810502,0.298315256,0.320799384,0.403077985,0.255439362,0.465242753,0.284460344,0.320397881,0.383828517,0.399703973,0.380180911,0.278716494,0.291883309,0.295883542,0.307975312,0.380202561,0.239046947,0.382550567,0.318686328,0.350387338,0.311782592,0.358786911,0.269334419,0.335921073,0.283418728,0.31089667,0.277304256,0.320195528,0.328764244,0.386040019,0.385508325,0.406324348,0.448362744,0.296493284,0.356336844,0.301081541,0.384809726,0.407508824,0.370049964,0.437324495,0.365450883,0.32323404,0.321615978,0.287220566,0.31130946,0.330932274,0.277007987,0.423734331,0.319161616,0.419415417,0.359611654,0.312851623,0.417885294,0.456013787,0.300669098,0.366594921,0.337817471,0.380499259,0.328090593,0.310361654,0.356166111,0.349913248,0.274306989,0.26938546,0.392065458,0.428270339,0.29489948,0.288188164,0.344533377,0.317758586,0.485740607,0.502694285,0.359423115,0.368770991,0.291031272,0.267662759,0.35819292,0.394405789,0.407255066,0.530738525,0.284435114,0.237062098,0.250130072,0.447596882,0.274555705,0.380676255,0.351369905,0.360400296,0.406488206,0.254815289,0.406099675,0.419141314,0.34940706,0.361458862,0.324820999,0.357948435,0.363616698,0.406890222,0.286858873,0.308147789,0.297174718,0.343313443,0.303696588,0.265118465,0.481740029,0.347298799,0.326341599,0.356856803,0.327812534,0.402091948,0.395662586,0.274138913,0.415284175,0.450316315,0.250530662,0.304960023,0.254406849,0.326161724,0.224805479,0.274581212,0.273331525,0.374852162,0.321456932,0.293636165,0.281230247,0.265176212,0.392175383,0.39843019,0.266275239,0.23844344,0.213877862,0.344007685,0.322848496,0.329637146,0.334088229,0.374890893,0.359153161,0.270941251,0.28708238,0.303255069,0.334195232,0.273404644,0.446977707,0.245327992
408_IL,0.290369371,0.344142522,0.382055125,0.276954763,0.416510271,0.318457332,0.269215245,0,0.292757359,0.39863656,0.437173277,0.274270471,0.375953098,0.458610013,0.28476708,0.425688321,0.320804215,0.277454939,0.412319193,0.425229986,0.406593385,0.286749151,0.254478907,0.310110895,0.30129365,0.414107976,0.36425127,0.414814179,0.32937658,0.336801984,0.341361235,0.32973145,0.308449754,0.257658505,0.367170777,0.312419347,0.315950265,0.326215186,0.423587817,0.392367418,0.366027507,0.399310992,0.450505858,0.329959397,0.36631459,0.246072067,0.392022266,0.333302077,0.352797646,0.381417363,0.340375523,0.358491184,0.306825398,0.276238086,0.305315662,0.355366527,0.318056678,0.427520984,0.368137403,0.378049783,0.377809956,0.341710492,0.435719184,0.416557122,0.314805718,0.401802913,0.383600904,0.389231168,0.346378949,0.30502507,0.386967489,0.3177261,0.298635733,0.294262256,0.339893679,0.433231956,0.304440312,0.348516603,0.366506882,0.346008436,0.449256427,0.488922379,0.336121617,0.324815521,0.419974257,0.309685032,0.380097456,0.361887839,0.391801093,0.532240922,0.334415655,0.327843894,0.263732104,0.458821876,0.337564443,0.330150758,0.374685416,0.350947438,0.391998912,0.31818084,0.465724373,0.365827961,0.362929285,0.32768609,0.345891252,0.376220624,0.353345637,0.424537625,0.306026294,0.288006675,0.385770399,0.324391366,0.297744935,0.27126342,0.509755859,0.269922942,0.356032976,0.360330866,0.336379034,0.428409445,0.427658189,0.351708006,0.425576553,0.426061536,0.280163988,0.297465652,0.285082509,0.351769693,0.269300132,0.332713956,0.285478994,0.339683577,0.348780307,0.307755167,0.351799093,0.279381368,0.456059276,0.373632364,0.322241143,0.315252212,0.27727166,0.336465979,0.325096886,0.366305187,0.305104005,0.369443123,0.403911727,0.332864508,0.394646756,0.369657954,0.297274858,0.31309788,0.425164809,0.313058666
411_IC,0.275435633,0.288142597,0.327801996,0.225314282,0.432578591,0.338875322,0.230237337,0.292757359,0,0.338208566,0.412334877,0.358656351,0.304419014,0.374657311,0.305331671,0.439921728,0.310919006,0.298218447,0.366931612,0.374350161,0.411016587,0.261853315,0.277936146,0.303285099,0.275128092,0.328813414,0.269805657,0.414611893,0.368449573,0.334481457,0.312701933,0.368817817,0.268547513,0.364648761,0.283023266,0.262176507,0.312873588,0.308903795,0.292655643,0.360876794,0.357661081,0.373592795,0.402116325,0.282847255,0.34302823,0.261292605,0.397132107,0.441776943,0.356584642,0.421853821,0.369908709,0.272087279,0.353986565,0.306765588,0.245684469,0.289615752,0.255925092,0.396315575,0.362350234,0.421532594,0.369652041,0.316898871,0.430067263,0.472298249,0.336015435,0.358268135,0.348555002,0.346904192,0.313885765,0.302554655,0.332035738,0.358596595,0.292132933,0.301212191,0.369173797,0.43729827,0.3491611,0.374969461,0.326605121,0.35644393,0.501584253,0.450903746,0.38031478,0.405162698,0.357006341,0.245883497,0.356426586,0.396076235,0.394349152,0.544468085,0.304871335,0.268826748,0.270799911,0.426982401,0.274452609,0.332691544,0.38636133,0.31285607,0.386006989,0.328299757,0.420847001,0.381098905,0.388552455,0.369569729,0.340458489,0.32656739,0.390333557,0.368906637,0.314401099,0.306230426,0.332021179,0.307693467,0.299474953,0.324515733,0.507269036,0.377970883,0.339168526,0.365026995,0.365949442,0.381928367,0.368389431,0.307247239,0.384372952,0.409721572,0.306293041,0.281462522,0.330537522,0.324621312,0.245638032,0.275691409,0.306345187,0.320663051,0.340843039,0.269079263,0.256136194,0.28458272,0.360532642,0.344870333,0.341085088,0.311173656,0.246962235,0.310953451,0.323165354,0.300947834,0.367825478,0.367593464,0.359027784,0.323723871,0.363027702,0.351973322,0.276876835,0.323867258,0.42793944,0.308934023
411_IL,0.373232594,0.386259761,0.316023878,0.263888545,0.350275852,0.244267872,0.310787525,0.39863656,0.338208566,0,0.31496199,0.28225529,0.400234518,0.546378817,0.377027767,0.565613018,0.370104555,0.328285395,0.499853911,0.535836893,0.352501133,0.397582295,0.382414411,0.419018408,0.329682266,0.502044639,0.308312686,0.422383514,0.249864221,0.437116263,0.348454996,0.303763502,0.356462616,0.372899314,0.313623076,0.369389276,0.281329731,0.307131931,0.262205042,0.506124962,0.515144896,0.530238836,0.574475687,0.361305075,0.394217572,0.351735053,0.364401324,0.431017784,0.386013552,0.455434641,0.383011932,0.292330566,0.38541532,0.338521373,0.346381999,0.259385816,0.366483402,0.561180494,0.275452405,0.331337952,0.319954468,0.321077349,0.447361854,0.432171067,0.353944407,0.521378091,0.356699948,0.490552999,0.321609458,0.379195462,0.33651882,0.405857687,0.328708701,0.322162012,0.412705505,0.394575853,0.357697757,0.297353636,0.340349642,0.335700413,0.476313333,0.606596522,0.337289699,0.456536153,0.373751225,0.312048373,0.308286789,0.33692876,0.396614854,0.409884953,0.253901934,0.194889479,0.301573245,0.523602179,0.339162906,0.484710493,0.389172805,0.466177849,0.542252287,0.31350797,0.31188618,0.34403828,0.304636117,0.48312733,0.447072599,0.429323841,0.3118479,0.517115496,0.336250829,0.334490568,0.343812228,0.349154131,0.351724531,0.324554951,0.533235047,0.325531144,0.320256891,0.477979051,0.360205166,0.355185905,0.354493682,0.32175031,0.429966885,0.539835331,0.307658762,0.295978645,0.369935359,0.331771332,0.320963296,0.386577024,0.265554311,0.466762719,0.234241702,0.357208555,0.315106166,0.300244274,0.529558005,0.519709383,0.349495395,0.300011563,0.282553724,0.305905978,0.212785074,0.302725287,0.405819146,0.485202857,0.435482035,0.24079742,0.339965265,0.265793224,0.338668323,0.333179987,0.560760664,0.317559489
