#OTU ID	F_Mut414_10	F_Mut432_10	F_Mut444_10	F_Mut463_10	F_Mut464_10	F_Mut476_10	F_Mut478_10	F_Mut495_10	F_Mut505_10	F_Mut518_10	F_Mut534_10	F_Mut538_10	F_Mut542_10	F_Mut564_10	F_Mut571_10	F_Mut572_10	F_Mut577_10	F_Mut414_CC	F_Mut414_CL	F_Mut432_CC	F_Mut432_CL	F_Mut444_CC	F_Mut444_CL	F_Mut463_CC	F_Mut463_CL	F_Mut464_CC	F_Mut464_CL	F_Mut476_CC	F_Mut476_CL	F_Mut478_CC	F_Mut478_CL	F_Mut495_CC	F_Mut495_CL	F_Mut505_CC	F_Mut505_CL	F_Mut518_CC	F_Mut518_CL	F_Mut534_CC	F_Mut534_CL	F_Mut538_CC	F_Mut538_CL	F_Mut542_CC	F_Mut542_CL	F_Mut564_CC	F_Mut564_CL	F_Mut571_CC	F_Mut571_CL	F_Mut572_CC	F_Mut572_CL	F_Mut577_CC	F_Mut577_CL	F_Mut414_DC	F_Mut414_DL	F_Mut432_DC	F_Mut432_DL	F_Mut444_DC	F_Mut444_DL	F_Mut463_DC	F_Mut463_DL	F_Mut464_DC	F_Mut464_DL	F_Mut476_DC	F_Mut476_DL	F_Mut478_DC	F_Mut478_DL	F_Mut495_DC	F_Mut495_DL	F_Mut505_DC	F_Mut505_DL	F_Mut518_DC	F_Mut518_DL	F_Mut534_DC	F_Mut534_DL	F_Mut538_DC	F_Mut538_DL	F_Mut542_DC	F_Mut542_DL	F_Mut564_DC	F_Mut564_DL	F_Mut571_DC	F_Mut571_DL	F_Mut572_DC	F_Mut572_DL	F_Mut577_DC	F_Mut577_DL	F_Mut414_IC	F_Mut414_IL	F_Mut432_IC	F_Mut432_IL	F_Mut444_IC	F_Mut444_IL	F_Mut463_IC	F_Mut463_IL	F_Mut464_IC	F_Mut464_IL	F_Mut476_IC	F_Mut476_IL	F_Mut478_IC	F_Mut478_IL	F_Mut495_IC	F_Mut495_IL	F_Mut505_IC	F_Mut505_IL	F_Mut518_IC	F_Mut518_IL	F_Mut534_IC	F_Mut534_IL	F_Mut538_IC	F_Mut538_IL	F_Mut542_IC	F_Mut542_IL	F_Mut564_IC	F_Mut564_IL	F_Mut571_IC	F_Mut571_IL	F_Mut572_IC	F_Mut572_IL	F_Mut577_IC	F_Mut577_IL
249956abc9a2b00cf369b0b5cc0ffecd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	4	0	0	17	0	0	17	0	0	0	0	0	0	0	22	0	0	166	0	0	14	0	0	0	0	0	0	0	0	0	7	0	5	0	8	0	0	0	6	4	0	3	0	0	0	0	11	0	10	7	0	0	9	0	7	0	0	0	0	0	20	2	8	0
220489abfe67f6c5468257fbfe8da245	0	20	60	30	0	50	27	133	0	35	22	84	31	67	52	38	39	0	0	46	31	24	22	0	0	20	0	39	33	22	47	82	48	51	31	74	18	35	35	48	0	49	54	68	45	0	0	111	26	104	18	34	0	172	0	35	0	93	0	0	0	84	0	33	0	86	35	84	0	33	0	180	207	162	0	84	0	120	27	40	0	0	87	0	0	65	27	362	34	257	131	23	0	193	23	112	47	47	0	76	0	114	12	16	26	81	35	671	243	543	151	28	67	270	22	45	36	29	0
60de440009ba631a5d5a70441994ad33	98	47	113	116	156	199	80	98	53	86	63	119	36	226	84	110	110	81	13	63	25	38	0	44	44	105	66	82	93	50	101	68	47	87	32	112	24	109	53	70	14	29	27	75	64	23	25	317	59	191	38	116	15	204	25	80	40	279	27	124	37	216	0	21	20	69	0	156	0	0	0	677	255	200	55	33	0	124	103	42	0	31	0	65	0	402	66	445	70	681	152	61	30	1519	119	251	269	105	57	79	20	159	38	22	128	276	66	1722	326	200	56	46	70	679	40	87	76	138	30
e920aec39d0ec8b823fb4b5b26a71b57	0	6	0	0	10	13	0	0	0	0	0	15	0	0	0	0	0	0	0	10	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	15	0	9	11	0	0	0	0	0	0	0	0	18	0	13	0	14	0	54	0	0	0	22	0	11	0	11	0	0	0	17	0	34	0	0	0	105	79	98	0	0	0	0	0	10	0	0	0	0	0	17	0	36	0	45	14	0	0	69	0	21	0	11	0	11	0	15	0	0	18	0	0	104	22	30	19	0	0	39	0	0	0	0	0
378d2f759615631ec0dcb302a7203e86	7	2	0	0	0	11	10	0	0	0	0	0	0	0	6	4	7	8	0	0	0	0	0	0	0	6	7	13	14	9	22	0	0	7	7	4	0	0	2	0	0	0	0	0	0	0	0	14	0	4	0	7	0	8	0	0	0	6	0	16	0	33	0	8	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	17	5	7	2	9	0	0	0	92	17	38	11	12	5	0	0	36	0	0	5	3	2	19	21	0	0	0	0	17	0	0	0	0	0
61ee083dd3bea539756859015c1c40e5	272	118	155	157	36	139	37	63	56	35	130	122	54	89	181	113	65	191	24	164	82	197	82	121	71	105	104	79	85	42	122	125	119	229	156	211	40	166	148	109	23	152	180	67	56	61	73	365	131	124	16	257	100	641	33	361	221	841	318	484	211	326	3	18	66	272	6	593	20	3	0	888	1252	441	55	450	52	419	0	525	125	75	55	10	0	286	100	689	114	824	1066	194	38	461	200	190	200	74	46	147	24	891	39	24	523	271	73	537	362	817	466	43	80	829	41	86	164	145	26
8668df7469b7ab0b7823b11be8c21ad2	0	0	0	0	0	8	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	15	0	0	0	22	0	0	0	7	0	10	0	23	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	28	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	37	0	17	23	4	9	8	0	0	0	0	0	0	0	21	0	9	0	0	0	0	0	0	0	9	0
a6bd10e64701aefb0e95e885e1e03dc7	0	0	12	4	0	0	0	0	0	11	0	11	0	0	9	14	0	0	0	8	0	0	0	0	0	0	7	15	16	0	7	0	0	11	9	32	0	0	0	11	0	0	0	0	5	0	0	31	13	0	0	0	0	36	0	0	0	0	21	21	0	11	0	0	0	15	0	0	0	0	0	0	0	57	0	13	0	0	0	21	0	4	0	0	0	10	0	14	5	0	4	0	0	21	0	11	0	0	0	0	0	40	0	0	14	0	0	72	55	11	0	0	23	21	0	12	0	0	0
0ebff951367c8655ca7579ce3bc3d983	392	236	136	461	623	318	361	993	227	252	480	1314	81	750	231	1008	831	708	0	673	403	644	72	478	320	618	650	466	291	427	730	1502	1181	842	780	909	363	813	959	3006	506	277	213	694	741	253	353	1373	831	1755	455	0	270	525	120	319	4	0	54	26	0	0	3	0	0	8	9	0	0	0	0	0	71	0	15	0	30	0	0	0	0	0	54	0	0	6	114	0	145	0	43	0	0	7	10	0	0	0	0	0	0	0	0	0	41	0	453	0	0	0	0	0	67	0	0	394	650	0	0
4d65579d390257cdb0d61d5ef5719a00	308	88	147	166	220	569	425	600	84	181	115	439	232	379	84	350	247	885	19	281	169	600	76	217	99	280	240	821	713	523	919	830	825	364	328	656	307	278	301	900	173	604	636	322	402	131	148	537	287	610	165	0	312	98	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	71	0	0	0	53	0	0	0	44	0	68	0	0	0	13	12	0	0	443	0	0	0	0	0	0	0	16	157	232	0	0
