#OTU ID	F_WT412_10	F_WT433_10	F_WT437_10	F_WT438_10	F_WT439_10	F_WT451_10	F_WT456_10	F_WT471_10	F_WT484_10	F_WT485_10	F_WT519_10	F_WT521_10	F_WT522_10	F_WT532_10	F_WT549_10	F_WT562_10	F_WT573_10	F_WT580_10	F_WT590_10	F_WT592_10	F_WT412_CC	F_WT412_CL	F_WT433_CC	F_WT433_CL	F_WT437_CC	F_WT437_CL	F_WT438_CC	F_WT438_CL	F_WT439_CC	F_WT439_CL	F_WT451_CC	F_WT451_CL	F_WT456_CC	F_WT456_CL	F_WT471_CC	F_WT471_CL	F_WT484_CC	F_WT484_CL	F_WT485_CC	F_WT485_CL	F_WT519_CC	F_WT519_CL	F_WT521_CC	F_WT521_CL	F_WT522_CC	F_WT522_CL	F_WT532_CC	F_WT532_CL	F_WT549_CC	F_WT549_CL	F_WT562_CC	F_WT562_CL	F_WT573_CC	F_WT573_CL	F_WT580_CC	F_WT580_CL	F_WT590_CC	F_WT590_CL	F_WT592_CC	F_WT592_CL	F_WT412_DC	F_WT412_DL	F_WT433_DC	F_WT433_DL	F_WT437_DC	F_WT437_DL	F_WT438_DC	F_WT438_DL	F_WT439_DC	F_WT439_DL	F_WT451_DC	F_WT451_DL	F_WT456_DC	F_WT456_DL	F_WT471_DC	F_WT471_DL	F_WT484_DC	F_WT484_DL	F_WT485_DC	F_WT485_DL	F_WT519_DC	F_WT519_DL	F_WT521_DC	F_WT521_DL	F_WT522_DC	F_WT522_DL	F_WT532_DC	F_WT532_DL	F_WT549_DC	F_WT549_DL	F_WT562_DC	F_WT562_DL	F_WT573_DC	F_WT573_DL	F_WT580_DC	F_WT580_DL	F_WT590_DC	F_WT590_DL	F_WT592_DC	F_WT592_DL	F_WT412_IC	F_WT412_IL	F_WT433_IC	F_WT433_IL	F_WT437_IC	F_WT437_IL	F_WT438_IC	F_WT438_IL	F_WT439_IC	F_WT439_IL	F_WT451_IC	F_WT451_IL	F_WT456_IC	F_WT456_IL	F_WT471_IC	F_WT471_IL	F_WT484_IC	F_WT484_IL	F_WT485_IC	F_WT485_IL	F_WT519_IC	F_WT519_IL	F_WT521_IC	F_WT521_IL	F_WT522_IC	F_WT522_IL	F_WT532_IC	F_WT532_IL	F_WT549_IC	F_WT549_IL	F_WT562_IC	F_WT562_IL	F_WT573_IC	F_WT573_IL	F_WT580_IC	F_WT580_IL	F_WT590_IC	F_WT590_IL	F_WT592_IC	F_WT592_IL
249956abc9a2b00cf369b0b5cc0ffecd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	9	0	11	0	0	0	0	0	0	0	27	0	74	0	16	3	0	0	0	0	248	0	5	0	2	0	39	0	0	0	0	0	0	0	0	0	22	0	26	0	8	0	0	0	8	0	15	0	0	0	0	2	0	0	25	0	4	0	3	0	0	0	0	0
220489abfe67f6c5468257fbfe8da245	0	31	29	25	16	112	47	64	34	38	32	34	58	30	36	25	27	47	8	17	16	0	41	13	21	0	0	0	0	18	90	34	33	12	72	17	39	0	32	0	41	27	65	0	110	17	77	11	44	32	21	0	62	29	26	0	17	0	28	0	117	14	655	0	451	0	108	0	242	0	0	0	93	0	42	0	145	0	94	0	130	0	180	32	481	0	0	0	288	0	122	0	0	0	127	0	42	8	175	0	62	0	83	0	189	59	310	55	183	103	42	29	183	23	355	0	203	0	0	15	453	32	604	60	65	53	0	0	275	0	1035	35	213	18	303	0	0	38	46	89
60de440009ba631a5d5a70441994ad33	36	54	148	103	66	28	76	136	79	103	56	64	42	53	68	41	110	216	68	52	70	34	51	0	50	29	31	27	44	41	23	15	67	0	187	44	67	12	73	15	67	0	159	25	42	15	116	17	55	46	66	17	133	67	75	49	87	34	66	8	485	0	1350	27	1512	0	238	14	798	13	0	0	192	9	152	0	260	4	390	46	301	0	365	62	156	0	15	0	328	0	300	0	49	0	289	198	387	0	551	7	229	29	142	21	678	22	594	75	1015	471	0	39	574	71	993	27	387	24	20	0	852	49	900	148	56	17	17	42	467	34	2549	149	346	48	1600	29	26	144	91	310
e920aec39d0ec8b823fb4b5b26a71b57	0	0	17	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	20	0	0	0	0	0	12	0	0	0	15	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	71	0	109	0	0	0	104	0	0	0	0	0	39	0	26	0	84	0	0	0	23	0	47	0	0	0	38	0	26	0	5	0	0	0	45	0	22	0	0	0	0	0	58	0	39	0	43	44	0	0	59	0	64	0	77	28	0	0	40	0	69	11	0	0	0	0	28	0	136	29	18	47	76	0	0	0	0	30
378d2f759615631ec0dcb302a7203e86	0	3	26	0	0	3	0	0	0	5	0	0	2	0	6	0	0	0	0	0	0	0	11	0	13	6	0	2	0	0	8	3	0	0	8	4	0	0	9	0	3	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0	0	0	0	6	2	181	0	485	0	11	0	26	0	0	0	0	0	3	0	2	0	74	0	23	0	0	0	57	0	0	0	120	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	94	54	26	7	5	0	6	4	3	0	21	0	3	0	0	0	4	0	2	0	0	0	0	0	70	0	51	0	7	0	5	0	0	0	0	0
61ee083dd3bea539756859015c1c40e5	43	65	40	83	81	55	32	163	19	75	4	21	60	3	62	42	68	8	0	25	48	22	147	42	21	12	58	48	95	97	97	44	43	5	362	169	53	11	189	51	8	6	104	33	79	45	43	15	45	70	55	35	342	78	23	18	18	4	151	14	167	52	2531	47	595	0	831	33	2805	23	0	147	65	0	277	9	124	0	961	0	1212	0	853	17	1560	9	129	0	580	4	916	0	367	0	213	0	9	47	4346	0	103	24	93	11	115	21	938	246	808	1429	37	34	165	16	803	20	103	32	16	10	11	14	1017	153	51	93	11	3	176	25	3430	396	389	52	129	18	11	18	164	686
8668df7469b7ab0b7823b11be8c21ad2	0	0	0	0	0	0	0	0	0	0	12	5	0	8	0	6	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	4	0	0	0	0	0	12	0	11	0	0	0	19	10	0	0	0	0	0	0	21	0	9	0	0	0	19	0	116	0	7	0	0	0	0	0	0	0	29	0	0	0	0	0	47	0	19	12	76	18	0	0	0	0	0	0	0	0	0	0	40	0	94	0	26	0	14	0	24	0	0	0	0	0	0	5	0	0	192	10	12	0	0	0	0	0	48	0	134	0	0	0	0	0	0	0	128	18	0	0	59	0	0	12	0	10
a6bd10e64701aefb0e95e885e1e03dc7	0	0	0	8	0	11	11	0	0	14	8	0	0	0	0	7	11	0	0	6	0	0	0	0	0	0	5	0	0	0	9	9	9	0	0	0	8	0	5	0	11	0	10	0	0	0	15	0	20	10	21	0	24	10	0	0	0	0	17	4	0	0	96	3	16	0	0	0	26	0	0	0	16	0	0	0	27	0	77	0	0	0	9	0	36	0	0	0	31	0	0	15	6	0	0	0	0	0	198	0	0	0	13	0	0	0	19	0	6	38	0	5	33	0	7	0	28	10	0	0	61	12	43	8	0	10	0	0	53	0	539	24	27	0	0	0	0	6	24	149
0ebff951367c8655ca7579ce3bc3d983	255	252	454	325	830	625	881	227	1616	399	248	120	552	415	1465	143	193	708	131	95	751	578	1231	479	663	270	146	126	1169	1333	1731	836	3664	355	861	267	2237	420	826	200	460	313	832	672	574	626	1841	1098	384	449	974	719	818	438	1697	881	383	121	309	43	0	0	181	65	50	0	504	154	25	0	112	0	217	0	0	124	0	0	0	0	0	0	20	0	15	0	268	228	0	19	36	0	0	0	0	227	0	0	0	0	0	0	0	0	5	0	0	0	8	18	828	980	8	0	0	0	7	0	0	0	0	0	0	0	590	14	0	0	6	13	50	49	0	0	9	0	0	0	260	7
4d65579d390257cdb0d61d5ef5719a00	227	111	506	353	225	179	219	256	624	243	169	45	291	123	377	52	128	246	89	122	760	593	585	255	596	241	208	171	279	349	567	287	981	93	1178	443	781	149	562	125	341	225	401	285	294	400	551	327	145	215	314	214	568	305	638	335	371	114	527	72	0	0	0	0	0	0	88	172	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	94	0	0	0	0	0	0	0	132	0	14	0	0	0	0	0	0	0	8	0	10	0	0	245	277	0	0	0	0	0	6	0	0	0	83	0	49	326	0	4	26	0	0	0	0	0	0	0	0	20	0	456	0
