#OTU ID	M_Mut403_10	M_Mut407_10	M_Mut408_10	M_Mut428_10	M_Mut449_10	M_Mut452_10	M_Mut461_10	M_Mut465_10	M_Mut466_10	M_Mut472_10	M_Mut489_10	M_Mut509_10	M_Mut510_10	M_Mut528_10	M_Mut535_10	M_Mut536_10	M_Mut547_10	M_Mut548_10	M_Mut553_10	M_Mut578_10	M_Mut403_CC	M_Mut403_CL	M_Mut407_CC	M_Mut407_CL	M_Mut408_CC	M_Mut408_CL	M_Mut428_CC	M_Mut428_CL	M_Mut449_CC	M_Mut449_CL	M_Mut452_CC	M_Mut452_CL	M_Mut461_CC	M_Mut461_CL	M_Mut465_CC	M_Mut465_CL	M_Mut466_CC	M_Mut466_CL	M_Mut472_CC	M_Mut472_CL	M_Mut489_CC	M_Mut489_CL	M_Mut509_CC	M_Mut509_CL	M_Mut510_CC	M_Mut510_CL	M_Mut528_CC	M_Mut528_CL	M_Mut535_CC	M_Mut535_CL	M_Mut536_CC	M_Mut536_CL	M_Mut547_CC	M_Mut547_CL	M_Mut548_CC	M_Mut548_CL	M_Mut553_CC	M_Mut553_CL	M_Mut578_CC	M_Mut578_CL	M_Mut403_DC	M_Mut403_DL	M_Mut407_DC	M_Mut407_DL	M_Mut408_DC	M_Mut408_DL	M_Mut428_DC	M_Mut428_DL	M_Mut449_DC	M_Mut449_DL	M_Mut452_DC	M_Mut452_DL	M_Mut461_DC	M_Mut461_DL	M_Mut465_DC	M_Mut465_DL	M_Mut466_DC	M_Mut466_DL	M_Mut472_DC	M_Mut472_DL	M_Mut489_DC	M_Mut489_DL	M_Mut509_DC	M_Mut509_DL	M_Mut510_DC	M_Mut510_DL	M_Mut528_DC	M_Mut528_DL	M_Mut535_DC	M_Mut535_DL	M_Mut536_DC	M_Mut536_DL	M_Mut547_DC	M_Mut547_DL	M_Mut548_DC	M_Mut548_DL	M_Mut553_DC	M_Mut553_DL	M_Mut578_DC	M_Mut578_DL	M_Mut403_IC	M_Mut403_IL	M_Mut407_IC	M_Mut407_IL	M_Mut408_IC	M_Mut408_IL	M_Mut428_IC	M_Mut428_IL	M_Mut449_IC	M_Mut449_IL	M_Mut452_IC	M_Mut452_IL	M_Mut461_IC	M_Mut461_IL	M_Mut465_IC	M_Mut465_IL	M_Mut466_IC	M_Mut466_IL	M_Mut472_IC	M_Mut472_IL	M_Mut489_IC	M_Mut489_IL	M_Mut509_IC	M_Mut509_IL	M_Mut510_IC	M_Mut510_IL	M_Mut528_IC	M_Mut528_IL	M_Mut535_IC	M_Mut535_IL	M_Mut536_IC	M_Mut536_IL	M_Mut547_IC	M_Mut547_IL	M_Mut548_IC	M_Mut548_IL	M_Mut553_IC	M_Mut553_IL	M_Mut578_IC	M_Mut578_IL
249956abc9a2b00cf369b0b5cc0ffecd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	3	24	2	0	0	0	0	10	0	49	0	26	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	4	0	0	0	0	3	9	0	19	0	0	0	0	0	0	0	5	0	25	0	0	0	0	5	4	0	5	0	0	0	0	0	10	4
220489abfe67f6c5468257fbfe8da245	33	27	22	27	60	15	40	42	22	0	26	0	37	27	41	44	48	63	48	21	49	24	79	29	19	17	36	0	70	24	47	0	20	0	0	0	0	25	41	0	32	0	50	44	69	0	73	0	52	15	27	96	50	15	45	65	35	24	45	23	757	18	0	12	57	0	173	0	26	0	99	0	0	0	205	0	224	0	37	0	195	0	75	0	80	6	181	0	209	0	35	25	57	31	207	0	124	0	0	0	395	103	207	46	13	29	318	0	27	0	66	125	0	0	270	85	320	74	121	17	674	759	562	137	323	0	136	77	140	57	227	62	29	107	291	82	182	12	84	27
60de440009ba631a5d5a70441994ad33	140	59	67	78	79	42	256	157	89	45	72	20	108	107	111	49	196	123	103	68	142	45	159	82	49	37	95	36	123	39	214	75	65	66	78	39	81	53	83	57	76	68	61	72	148	22	160	33	78	30	43	142	104	34	46	92	52	53	105	65	1204	0	26	34	22	16	530	18	103	13	579	16	30	0	724	21	170	0	38	22	680	57	132	0	436	0	355	96	45	7	59	0	112	50	134	15	233	16	35	0	1175	276	331	71	85	82	963	21	60	51	255	494	38	20	1035	292	815	131	410	56	2144	900	1208	74	977	76	534	138	129	63	334	342	59	153	355	165	334	33	176	42
e920aec39d0ec8b823fb4b5b26a71b57	0	0	0	0	14	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	16	13	0	0	0	8	0	0	22	5	0	5	6	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	14	0	0	10	0	131	0	0	7	0	0	49	0	0	0	57	0	0	0	47	0	25	0	44	0	0	0	0	0	56	0	32	0	0	0	0	0	0	0	19	0	35	0	0	0	73	29	52	29	0	0	56	0	0	0	0	16	0	0	85	19	60	12	20	0	114	58	70	0	59	0	0	12	13	0	24	0	0	28	37	52	17	17	10	0
378d2f759615631ec0dcb302a7203e86	11	0	0	2	4	0	0	8	0	3	12	0	5	0	0	0	3	0	0	0	43	11	16	9	0	0	0	3	3	0	8	4	0	0	5	4	0	0	3	0	12	10	5	11	7	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	505	0	0	12	0	0	58	0	0	0	0	0	0	0	131	14	0	0	0	0	117	0	0	0	0	0	16	0	14	0	0	0	5	0	0	0	4	0	0	0	162	28	18	22	0	3	47	5	0	0	6	3	0	0	63	23	5	3	5	5	143	207	54	0	10	11	0	0	2	0	9	0	2	8	11	0	4	0	4	0
61ee083dd3bea539756859015c1c40e5	57	29	3	63	109	38	6	115	28	0	2	6	80	45	4	88	73	46	50	22	153	66	90	62	0	10	89	78	160	106	514	80	5	8	122	71	107	110	6	0	0	0	143	107	139	47	173	25	24	5	174	261	362	67	199	161	172	80	39	40	4802	0	0	80	0	52	1338	3	178	0	2204	25	0	5	3093	59	2041	0	0	27	0	0	1032	0	519	13	827	84	9	7	664	37	608	7	921	36	1156	75	68	141	1203	309	295	127	6	48	500	87	102	63	264	646	17	6	1187	636	628	206	14	17	10	19	696	71	475	43	188	144	20	29	790	363	178	320	622	235	1015	36	91	52
8668df7469b7ab0b7823b11be8c21ad2	0	7	0	0	5	0	15	0	0	0	0	0	0	0	21	0	5	0	7	5	0	0	11	0	9	0	0	0	8	0	0	0	17	0	0	0	0	0	10	0	0	0	0	0	0	0	10	0	17	12	0	0	0	0	0	0	0	0	22	13	72	0	0	0	0	0	8	0	4	0	0	0	0	0	43	0	0	0	0	0	0	0	12	0	10	0	8	0	0	0	0	0	0	0	13	0	0	0	0	0	17	0	22	19	0	0	0	0	8	17	0	0	0	0	32	7	11	0	33	29	31	0	31	0	11	0	0	0	31	17	0	0	0	0	11	0	0	0	29	12
a6bd10e64701aefb0e95e885e1e03dc7	8	0	0	6	0	0	0	0	0	9	0	0	17	8	0	7	0	0	0	0	10	0	6	13	0	0	19	9	0	0	0	0	0	0	0	0	0	0	5	17	0	0	19	11	23	0	0	0	0	0	0	0	11	0	4	8	5	6	13	13	92	0	0	8	0	0	152	0	0	0	13	0	0	0	10	0	0	0	9	0	5	0	0	0	81	0	6	0	0	0	9	0	0	0	0	0	17	0	0	0	76	14	36	0	11	0	119	9	0	0	0	8	0	0	15	0	14	0	13	8	11	15	65	9	74	0	11	11	0	0	28	17	0	41	21	46	28	0	39	0
0ebff951367c8655ca7579ce3bc3d983	344	218	370	109	2440	649	508	439	859	119	277	129	671	388	364	334	470	454	419	533	857	327	739	839	220	380	347	304	1833	1467	52	1273	340	157	482	497	725	381	372	227	271	347	1147	860	2448	975	494	212	807	160	1507	2665	1549	362	362	621	676	284	925	484	0	0	60	0	0	47	0	0	0	140	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	7	0	28	4	0	0	39	1993	69	10	0	5	0	13	159	5	21	0	7	0	0	6	28	0	0	0	17	0	4	0	4	0	4	0	20	0	0
4d65579d390257cdb0d61d5ef5719a00	159	166	357	112	584	172	490	248	188	322	71	0	174	324	160	77	261	627	314	182	390	162	712	866	247	447	470	430	480	381	0	353	388	171	283	270	198	125	1258	755	174	195	480	363	696	270	497	210	322	63	384	746	997	238	696	957	487	206	301	184	0	0	0	0	0	0	6	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0
