#OTU ID	M_WT405_10	M_WT411_10	M_WT420_10	M_WT425_10	M_WT427_10	M_WT431_10	M_WT450_10	M_WT459_10	M_WT475_10	M_WT481_10	M_WT482_10	M_WT500_10	M_WT515_10	M_WT517_10	M_WT524_10	M_WT541_10	M_WT555_10	M_WT568_10	M_WT579_10	M_WT584_10	M_WT405_CC	M_WT405_CL	M_WT411_CC	M_WT411_CL	M_WT420_CC	M_WT420_CL	M_WT425_CC	M_WT425_CL	M_WT427_CC	M_WT427_CL	M_WT431_CC	M_WT431_CL	M_WT450_CC	M_WT450_CL	M_WT459_CC	M_WT459_CL	M_WT475_CC	M_WT475_CL	M_WT481_CC	M_WT481_CL	M_WT482_CC	M_WT482_CL	M_WT500_CC	M_WT500_CL	M_WT515_CC	M_WT515_CL	M_WT517_CC	M_WT517_CL	M_WT524_CC	M_WT524_CL	M_WT541_CC	M_WT541_CL	M_WT555_CC	M_WT555_CL	M_WT568_CC	M_WT568_CL	M_WT579_CC	M_WT579_CL	M_WT584_CC	M_WT584_CL	M_WT405_DC	M_WT405_DL	M_WT411_DC	M_WT411_DL	M_WT420_DC	M_WT420_DL	M_WT425_DC	M_WT425_DL	M_WT427_DC	M_WT427_DL	M_WT431_DC	M_WT431_DL	M_WT450_DC	M_WT450_DL	M_WT459_DC	M_WT459_DL	M_WT475_DC	M_WT475_DL	M_WT481_DC	M_WT481_DL	M_WT482_DC	M_WT482_DL	M_WT500_DC	M_WT500_DL	M_WT515_DC	M_WT515_DL	M_WT517_DC	M_WT517_DL	M_WT524_DC	M_WT524_DL	M_WT541_DC	M_WT541_DL	M_WT555_DC	M_WT555_DL	M_WT568_DC	M_WT568_DL	M_WT579_DC	M_WT579_DL	M_WT584_DC	M_WT584_DL	M_WT405_IC	M_WT405_IL	M_WT411_IC	M_WT411_IL	M_WT420_IC	M_WT420_IL	M_WT425_IC	M_WT425_IL	M_WT427_IC	M_WT427_IL	M_WT431_IC	M_WT431_IL	M_WT450_IC	M_WT450_IL	M_WT459_IC	M_WT459_IL	M_WT475_IC	M_WT475_IL	M_WT481_IC	M_WT481_IL	M_WT482_IC	M_WT482_IL	M_WT500_IC	M_WT500_IL	M_WT515_IC	M_WT515_IL	M_WT517_IC	M_WT517_IL	M_WT524_IC	M_WT524_IL	M_WT541_IC	M_WT541_IL	M_WT555_IC	M_WT555_IL	M_WT568_IC	M_WT568_IL	M_WT579_IC	M_WT579_IL	M_WT584_IC	M_WT584_IL
249956abc9a2b00cf369b0b5cc0ffecd	0	0	0	0	0	2	0	0	0	0	0	3	2	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	0	0	0	0	0	0	0	28	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5	921	13	35	0	8	0	19	6	16	0	4	4	8	0	84	15	0	0	2	0	0	0	0	0	9	19	11	0	6	5	29	0	7	4	18	0	13	4
220489abfe67f6c5468257fbfe8da245	40	0	10	22	0	0	157	52	33	50	26	88	49	126	29	36	132	85	40	76	62	17	0	16	0	0	18	22	14	0	21	0	42	37	26	0	114	0	49	14	25	0	17	29	31	20	61	16	43	16	45	14	64	0	38	19	35	0	124	17	40	0	64	0	41	37	0	0	0	0	21	0	0	37	0	0	0	0	37	0	86	0	2	0	0	0	592	14	0	0	0	0	761	22	0	18	0	0	0	0	685	66	88	0	172	34	0	30	0	21	50	25	0	41	0	0	0	0	144	31	100	9	0	0	0	15	505	78	0	13	0	17	1468	220	64	53	382	0	329	57
60de440009ba631a5d5a70441994ad33	69	49	37	33	8	82	203	353	41	93	55	281	140	203	45	70	118	151	211	125	45	27	33	67	52	49	48	24	74	28	80	67	31	44	69	55	215	40	46	30	66	6	65	67	118	46	88	47	78	28	82	26	44	12	91	25	131	62	195	20	75	33	434	33	65	69	0	0	29	14	0	66	0	31	0	0	0	0	93	24	102	14	0	0	0	0	677	0	48	6	0	71	565	44	147	0	27	0	89	41	1126	90	565	17	579	123	27	53	20	46	83	99	37	41	23	44	0	34	219	33	262	39	21	45	25	52	1023	64	24	32	14	25	1281	144	147	74	1700	46	520	28
e920aec39d0ec8b823fb4b5b26a71b57	0	0	0	0	0	6	34	24	0	29	0	35	13	19	0	16	9	14	12	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	15	0	0	8	25	0	7	0	0	0	0	0	0	0	0	0	0	0	12	0	9	7	0	0	38	0	17	0	14	0	0	0	0	0	0	0	0	0	0	0	0	56	39	13	0	0	0	0	0	0	43	0	0	0	0	0	60	0	0	0	92	0	17	0	40	0	0	0	20	0	0	0	0	0	0	0	0	14	0	0	0	0	37	0	45	0	0	0	0	0	72	0	0	0	0	0	114	0	0	12	129	0	61	0
378d2f759615631ec0dcb302a7203e86	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	12	0	0	0	0	0	0	0	0	2	7	5	0	0	0	0	0	0	0	0	6	4	0	0	0	0	7	11	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	3	23	0	52	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	97	0	0	18	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	102	0	0	0	0	0	0	0
61ee083dd3bea539756859015c1c40e5	105	43	24	48	0	0	604	5	49	0	55	395	87	432	49	104	145	8	354	10	296	111	142	90	87	42	161	77	0	5	5	12	140	91	5	5	324	86	8	0	55	7	136	95	65	47	206	141	59	16	136	63	169	34	18	6	267	162	62	19	735	87	3034	187	959	163	196	0	66	0	92	2	80	228	0	2	0	35	0	0	629	53	62	150	4	0	4639	226	81	0	0	60	2324	139	0	21	935	132	73	0	1100	156	455	11	1051	129	20	35	17	15	68	41	27	96	16	22	10	27	12	10	148	22	7	67	19	37	1125	218	14	21	3	15	2352	428	24	90	4080	136	178	49
8668df7469b7ab0b7823b11be8c21ad2	0	0	0	0	0	13	0	29	0	0	0	0	11	17	8	0	0	35	0	9	0	0	0	0	0	0	0	0	23	0	11	11	0	0	0	4	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	15	0	0	0	19	7	8	4	33	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	29	0	0	14	0	17	11	10	0	32	0	0	5	0	0	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	10	11	0	0	0	0	0	9	0	34	12	4	0	61	0
a6bd10e64701aefb0e95e885e1e03dc7	0	0	0	0	0	0	17	0	14	7	0	110	14	24	0	0	7	0	38	6	13	4	0	7	0	6	9	10	0	0	7	0	8	8	0	0	9	0	0	7	7	0	26	15	14	13	22	8	0	0	0	0	14	0	0	0	40	16	45	11	8	0	50	0	9	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	19	0	0	0	0	0	257	0	0	0	0	0	65	0	20	0	62	0	0	0	26	0	64	3	32	8	0	0	0	0	0	0	0	0	0	0	0	0	19	0	9	0	0	0	0	8	55	4	0	0	0	0	103	0	0	0	328	28	65	21
0ebff951367c8655ca7579ce3bc3d983	202	395	91	116	0	938	1087	1097	974	2692	862	753	1528	1609	1646	1715	883	607	728	3874	920	219	1534	1107	347	211	461	178	410	126	2193	1217	1859	1799	601	305	1343	554	2314	783	524	276	1240	1005	650	297	571	405	1795	1457	2022	1030	956	204	978	470	1077	744	1951	571	3	9	15	22	0	48	0	15	73	301	0	83	0	2807	0	0	0	0	0	0	6	118	0	0	0	0	0	4	0	58	0	35	0	0	11	154	0	49	0	10	0	30	0	0	0	56	10	0	0	60	0	0	10	279	0	0	0	0	8	0	10	0	0	99	0	6	0	0	0	4	0	0	0	0	0	62	0	19	0	0
4d65579d390257cdb0d61d5ef5719a00	293	105	129	408	26	356	366	677	2693	755	259	226	787	813	409	445	487	454	249	1431	1429	320	427	309	628	335	1725	779	1170	310	697	421	539	568	460	259	3241	1361	749	270	191	110	372	311	335	175	364	231	459	425	553	292	632	148	660	365	358	274	694	242	0	0	0	0	0	0	0	0	85	970	11	0	0	868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	341	10	0	0	0	0	0	0	0	0	105	0	2	53	181	0	49	0	88	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
