SampleID	Cecal_Contents	Cecal_Lining	Duodenum_Contents	Duodenum_Lining	Ileum_Contents	Ileum_Lining	Unknown
F_Mut414_10	0.622589	0.072722	0.017673	0.144589	0.013367	0.011747	0.117313
F_Mut432_10	0.606137	0.109382	0.04084	0.084297	0.033726	0.023966	0.101652
F_Mut444_10	0.393556	0.08242	0.251758	0.121393	0.087981	0.025395	0.037497
F_Mut463_10	0.413985	0.092479	0.133718	0.269132	0.046816	0.020611	0.023259
F_Mut464_10	0.208891	0.075572	0.441384	0.031429	0.190849	0.014773	0.037102
F_Mut476_10	0.378592	0.11741	0.28444	0.066112	0.066847	0.025886	0.060713
F_Mut478_10	0.299624	0.124142	0.355042	0.061735	0.106015	0.020873	0.032569
F_Mut495_10	0.318445	0.044131	0.401832	0.031755	0.151891	0.018379	0.033567
F_Mut505_10	0.608005	0.071811	0.144942	0.058793	0.044115	0.029645	0.042689
F_Mut518_10	0.753952	0.074975	0.038793	0.02703	0.030209	0.020638	0.054403
F_Mut534_10	0.511065	0.154658	0.109978	0.067298	0.0433	0.017741	0.09596
F_Mut538_10	0.641314	0.182268	0.014694	0.039016	0.01526	0.01572	0.091728
F_Mut542_10	0.573583	0.103931	0.089508	0.0561	0.031208	0.02239	0.12328
F_Mut564_10	0.386905	0.11975	0.291449	0.060856	0.069285	0.018165	0.05359
F_Mut571_10	0.465541	0.164094	0.07907	0.132263	0.039324	0.015278	0.10443
F_Mut572_10	0.660986	0.128839	0.067455	0.046542	0.032073	0.021755	0.04235
F_Mut577_10	0.526554	0.120667	0.199721	0.042347	0.063515	0.02156	0.025636
