SampleID	Cecal_Contents	Cecal_Lining	Duodenum_Contents	Duodenum_Lining	Ileum_Contents	Ileum_Lining	Unknown
F_WT412_10	0.353831	0.347873	0.035147	0.057988	0.025511	0.014147	0.165503
F_WT433_10	0.409529	0.117663	0.11406	0.154751	0.111439	0.023337	0.069221
F_WT437_10	0.293113	0.072816	0.184045	0.22977	0.149363	0.035121	0.035772
F_WT438_10	0.629626	0.119213	0.03665	0.104982	0.03484	0.017232	0.057457
F_WT439_10	0.65885	0.089053	0.037668	0.089872	0.031385	0.01648	0.076692
F_WT451_10	0.556504	0.306555	0.015598	0.024592	0.019666	0.016238	0.060847
F_WT456_10	0.64767	0.21592	0.009987	0.022914	0.011542	0.008719	0.083248
F_WT471_10	0.191472	0.033804	0.472063	0.075433	0.134208	0.028046	0.064974
F_WT484_10	0.518189	0.028921	0.287008	0.040496	0.040565	0.019033	0.065788
F_WT485_10	0.689941	0.041374	0.053566	0.017938	0.020164	0.016965	0.160052
F_WT519_10	0.480747	0.124183	0.05216	0.125863	0.09993	0.028079	0.089038
F_WT521_10	0.298371	0.13828	0.121182	0.108983	0.17483	0.022833	0.135521
F_WT522_10	0.298704	0.048372	0.398556	0.074405	0.110962	0.02975	0.039251
F_WT532_10	0.41966	0.03169	0.111707	0.142435	0.139977	0.027643	0.126888
F_WT549_10	0.282	0.036033	0.580382	0.026666	0.025278	0.017068	0.032573
F_WT562_10	0.661437	0.161351	0.011481	0.032119	0.016076	0.011701	0.105835
F_WT573_10	0.256277	0.033156	0.200356	0.162048	0.254272	0.029901	0.06399
F_WT580_10	0.265342	0.058162	0.381373	0.084487	0.067875	0.020429	0.122332
F_WT590_10	0.607076	0.048943	0.105527	0.07585	0.02986	0.025363	0.107381
F_WT592_10	0.349026	0.104862	0.110623	0.206159	0.162298	0.025811	0.041221
