SampleID	Cecal_Contents	Cecal_Lining	Duodenum_Contents	Duodenum_Lining	Ileum_Contents	Ileum_Lining	Unknown
M_Mut403_10	0.133463	0.034897	0.334881	0.322968	0.145753	0.011549	0.016489
M_Mut407_10	0.605763	0.088512	0.061521	0.040025	0.055065	0.01407	0.135044
M_Mut408_10	0.306612	0.027754	0.402439	0.157502	0.068608	0.0175	0.019585
M_Mut428_10	0.375534	0.063271	0.324552	0.097821	0.091242	0.013454	0.034126
M_Mut449_10	0.309233	0.033258	0.522642	0.031209	0.06081	0.01274	0.030108
M_Mut452_10	0.629374	0.088208	0.054612	0.063495	0.103618	0.011108	0.049585
M_Mut461_10	0.371644	0.026237	0.364742	0.065202	0.115037	0.015548	0.04159
M_Mut465_10	0.698868	0.166484	0.014173	0.011569	0.018097	0.011497	0.079312
M_Mut466_10	0.172398	0.014793	0.333643	0.216879	0.244586	0.010357	0.007344
M_Mut472_10	0.628974	0.223482	0.024125	0.032349	0.020369	0.008663	0.062038
M_Mut489_10	0.455833	0.307811	0.009902	0.01108	0.011462	0.007129	0.196783
M_Mut509_10	0.456022	0.07869	0.165407	0.14823	0.061921	0.015796	0.073934
M_Mut510_10	0.435336	0.118278	0.092462	0.142848	0.063342	0.011735	0.135999
M_Mut528_10	0.437471	0.047289	0.201573	0.152541	0.081895	0.013798	0.065433
M_Mut535_10	0.401563	0.050123	0.321072	0.095843	0.046416	0.01687	0.068113
M_Mut536_10	0.540294	0.130931	0.112072	0.072553	0.077292	0.014139	0.052719
M_Mut547_10	0.319552	0.071708	0.14779	0.233443	0.106613	0.014049	0.106845
M_Mut548_10	0.306358	0.063406	0.205562	0.251237	0.074997	0.012354	0.086086
M_Mut553_10	0.337969	0.039177	0.431449	0.083726	0.068786	0.014473	0.02442
M_Mut578_10	0.569467	0.213368	0.061202	0.058376	0.040556	0.012551	0.04448
