SampleID	Cecal_Contents	Cecal_Lining	Duodenum_Contents	Duodenum_Lining	Ileum_Contents	Ileum_Lining	Unknown
M_WT405_10	0.67885	0.112637	0.055586	0.056175	0.029726	0.008931	0.058095
M_WT411_10	0.53242	0.071293	0.148471	0.096654	0.049468	0.012425	0.089269
M_WT420_10	0.484628	0.112589	0.119748	0.071288	0.054812	0.013149	0.143786
M_WT425_10	0.264859	0.103216	0.312261	0.077445	0.17913	0.008766	0.054323
M_WT427_10	0.453206	0.202734	0.039804	0.15405	0.038775	0.01003	0.101401
M_WT431_10	0.510586	0.17788	0.070694	0.08179	0.051815	0.010745	0.09649
M_WT450_10	0.492522	0.072586	0.196526	0.062716	0.035083	0.008142	0.132425
M_WT459_10	0.125973	0.189318	0.25447	0.143349	0.219231	0.00923	0.058429
M_WT475_10	0.442542	0.044557	0.336409	0.058778	0.080604	0.007955	0.029155
M_WT481_10	0.635666	0.057201	0.082197	0.029822	0.026716	0.007837	0.160561
M_WT482_10	0.455638	0.064891	0.279503	0.05282	0.036932	0.008945	0.101271
M_WT500_10	0.285327	0.051831	0.430043	0.078859	0.066857	0.007388	0.079695
M_WT515_10	0.397644	0.052622	0.388638	0.071721	0.028158	0.011413	0.049804
M_WT517_10	0.217215	0.026712	0.486998	0.08314	0.14743	0.007882	0.030623
M_WT524_10	0.567241	0.065909	0.179442	0.037893	0.074195	0.010351	0.064969
M_WT541_10	0.714049	0.056127	0.061124	0.030338	0.029475	0.006719	0.102168
M_WT555_10	0.364915	0.073049	0.276356	0.09215	0.086838	0.008387	0.098305
M_WT568_10	0.330193	0.029251	0.330547	0.053796	0.159544	0.010159	0.08651
M_WT579_10	0.355838	0.11348	0.314023	0.061949	0.054762	0.00798	0.091968
M_WT584_10	0.629883	0.049037	0.166482	0.039923	0.040165	0.007792	0.066718
