SampleID	SourceSink	Env
M_Mut403_CC	source	M_Mut_Cecal_Contents
M_Mut403_CL	source	M_Mut_Cecal_Lining
M_Mut407_CC	source	M_Mut_Cecal_Contents
M_Mut407_CL	source	M_Mut_Cecal_Lining
M_Mut408_CC	source	M_Mut_Cecal_Contents
M_Mut408_CL	source	M_Mut_Cecal_Lining
M_Mut428_CC	source	M_Mut_Cecal_Contents
M_Mut428_CL	source	M_Mut_Cecal_Lining
M_Mut449_CC	source	M_Mut_Cecal_Contents
M_Mut449_CL	source	M_Mut_Cecal_Lining
M_Mut452_CC	source	M_Mut_Cecal_Contents
M_Mut452_CL	source	M_Mut_Cecal_Lining
M_Mut461_CC	source	M_Mut_Cecal_Contents
M_Mut461_CL	source	M_Mut_Cecal_Lining
M_Mut465_CC	source	M_Mut_Cecal_Contents
M_Mut465_CL	source	M_Mut_Cecal_Lining
M_Mut466_CC	source	M_Mut_Cecal_Contents
M_Mut466_CL	source	M_Mut_Cecal_Lining
M_Mut472_CC	source	M_Mut_Cecal_Contents
M_Mut472_CL	source	M_Mut_Cecal_Lining
M_Mut489_CC	source	M_Mut_Cecal_Contents
M_Mut489_CL	source	M_Mut_Cecal_Lining
M_Mut509_CC	source	M_Mut_Cecal_Contents
M_Mut509_CL	source	M_Mut_Cecal_Lining
M_Mut510_CC	source	M_Mut_Cecal_Contents
M_Mut510_CL	source	M_Mut_Cecal_Lining
M_Mut528_CC	source	M_Mut_Cecal_Contents
M_Mut528_CL	source	M_Mut_Cecal_Lining
M_Mut535_CC	source	M_Mut_Cecal_Contents
M_Mut535_CL	source	M_Mut_Cecal_Lining
M_Mut536_CC	source	M_Mut_Cecal_Contents
M_Mut536_CL	source	M_Mut_Cecal_Lining
M_Mut547_CC	source	M_Mut_Cecal_Contents
M_Mut547_CL	source	M_Mut_Cecal_Lining
M_Mut548_CC	source	M_Mut_Cecal_Contents
M_Mut548_CL	source	M_Mut_Cecal_Lining
M_Mut553_CC	source	M_Mut_Cecal_Contents
M_Mut553_CL	source	M_Mut_Cecal_Lining
M_Mut578_CC	source	M_Mut_Cecal_Contents
