SampleID	SourceSink	Env
M_WT405_CC	source	M_WT_Cecal_Contents
M_WT405_CL	source	M_WT_Cecal_Lining
M_WT411_CC	source	M_WT_Cecal_Contents
M_WT411_CL	source	M_WT_Cecal_Lining
M_WT420_CC	source	M_WT_Cecal_Contents
M_WT420_CL	source	M_WT_Cecal_Lining
M_WT425_CC	source	M_WT_Cecal_Contents
M_WT425_CL	source	M_WT_Cecal_Lining
M_WT427_CC	source	M_WT_Cecal_Contents
M_WT427_CL	source	M_WT_Cecal_Lining
M_WT431_CC	source	M_WT_Cecal_Contents
M_WT431_CL	source	M_WT_Cecal_Lining
M_WT450_CC	source	M_WT_Cecal_Contents
M_WT450_CL	source	M_WT_Cecal_Lining
M_WT459_CC	source	M_WT_Cecal_Contents
M_WT459_CL	source	M_WT_Cecal_Lining
M_WT475_CC	source	M_WT_Cecal_Contents
M_WT475_CL	source	M_WT_Cecal_Lining
M_WT481_CC	source	M_WT_Cecal_Contents
M_WT481_CL	source	M_WT_Cecal_Lining
M_WT482_CC	source	M_WT_Cecal_Contents
M_WT482_CL	source	M_WT_Cecal_Lining
M_WT500_CC	source	M_WT_Cecal_Contents
M_WT500_CL	source	M_WT_Cecal_Lining
M_WT515_CC	source	M_WT_Cecal_Contents
M_WT515_CL	source	M_WT_Cecal_Lining
M_WT517_CC	source	M_WT_Cecal_Contents
M_WT517_CL	source	M_WT_Cecal_Lining
M_WT524_CC	source	M_WT_Cecal_Contents
M_WT524_CL	source	M_WT_Cecal_Lining
M_WT541_CC	source	M_WT_Cecal_Contents
M_WT541_CL	source	M_WT_Cecal_Lining
M_WT555_CC	source	M_WT_Cecal_Contents
M_WT555_CL	source	M_WT_Cecal_Lining
M_WT568_CC	source	M_WT_Cecal_Contents
M_WT568_CL	source	M_WT_Cecal_Lining
M_WT579_CC	source	M_WT_Cecal_Contents
M_WT579_CL	source	M_WT_Cecal_Lining
M_WT584_CC	source	M_WT_Cecal_Contents
M_WT584_CL	source	M_WT_Cecal_Lining
M_WT405_DC	source	M_WT_Duodenum_Contents
M_WT405_DL	source	M_WT_Duodenum_Lining
M_WT411_DC	source	M_WT_Duodenum_Contents
M_WT411_DL	source	M_WT_Duodenum_Lining
M_WT420_DC	source	M_WT_Duodenum_Contents
M_WT420_DL	source	M_WT_Duodenum_Lining
M_WT425_DC	source	M_WT_Duodenum_Contents
M_WT425_DL	source	M_WT_Duodenum_Lining
M_WT427_DC	source	M_WT_Duodenum_Contents
M_WT427_DL	source	M_WT_Duodenum_Lining
M_WT431_DC	source	M_WT_Duodenum_Contents
M_WT431_DL	source	M_WT_Duodenum_Lining
M_WT450_DC	source	M_WT_Duodenum_Contents
M_WT450_DL	source	M_WT_Duodenum_Lining
M_WT459_DC	source	M_WT_Duodenum_Contents
M_WT459_DL	source	M_WT_Duodenum_Lining
M_WT475_DC	source	M_WT_Duodenum_Contents
M_WT475_DL	source	M_WT_Duodenum_Lining
M_WT481_DC	source	M_WT_Duodenum_Contents
M_WT481_DL	source	M_WT_Duodenum_Lining
M_WT482_DC	source	M_WT_Duodenum_Contents
